Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,
WW00DB,AGVS,AGVS Message # 11,ASCII,6.4.1 AGVS Message Display,AGVS,,74,,,,,,WW,219,WWDB
WW00DC,AGVS,AGVS Message # 12,ASCII,6.4.1 AGVS Message Display,AGVS,,75,,,,,,WW,220,WWDC
WW00DD,AGVS,AGVS Message # 13,ASCII,6.4.1 AGVS Message Display,AGVS,,76,,,,,,WW,221,WWDD
WW00DE,AGVS,AGVS Message # 14,ASCII,6.4.1 AGVS Message Display,AGVS,,77,,,,,,WW,222,WWDE
WW00DF,AGVS,AGVS Message # 15,ASCII,6.4.1 AGVS Message Display,AGVS,,78,,,,,,WW,223,WWDF
WW00E0,AGVS,AGVS Message # 16,ASCII,6.4.1 AGVS Message Display,AGVS,,79,,,,,,WW,224,WWE0
WW00E1,AGVS,AGVS Message # 17,ASCII,6.4.1 AGVS Message Display,AGVS,,80,,,,,,WW,225,WWE1
WW00E2,AGVS,AGVS Message # 18,ASCII,6.4.1 AGVS Message Display,AGVS,,81,,,,,,WW,226,WWE2
WW00E3,AGVS,AGVS Message # 19,ASCII,6.4.1 AGVS Message Display,AGVS,,82,,,,,,WW,227,WWE3
WW00E4,AGVS,AGVS Message # 20,ASCII,6.4.1 AGVS Message Display,AGVS,,83,,,,,,WW,228,WWE4
WW00E5,AGVS,AGVS Message # 21,ASCII,6.4.1 AGVS Message Display,AGVS,,84,,,,,,WW,229,WWE5
WW00E6,AGVS,AGVS Message # 22,ASCII,6.4.1 AGVS Message Display,AGVS,,85,,,,,,WW,230,WWE6
WW00E7,AGVS,AGVS Message # 23,ASCII,6.4.1 AGVS Message Display,AGVS,,86,,,,,,WW,231,WWE7
WW00E8,AGVS,AGVS Message # 24,ASCII,6.4.1 AGVS Message Display,AGVS,,87,,,,,,WW,232,WWE8
WW00E9,AGVS,AGVS Message # 25,ASCII,6.4.1 AGVS Message Display,AGVS,,88,,,,,,WW,233,WWE9
WW00EA,AGVS,AGVS Message # 26,ASCII,6.4.1 AGVS Message Display,AGVS,,89,,,,,,WW,234,WWEA
WW00EB,AGVS,AGVS Message # 27,ASCII,6.4.1 AGVS Message Display,AGVS,,90,,,,,,WW,235,WWEB
WW00EC,AGVS,AGVS Message # 28,ASCII,6.4.1 AGVS Message Display,AGVS,,91,,,,,,WW,236,WWEC
WW00ED,AGVS,AGVS Message # 29,ASCII,6.4.1 AGVS Message Display,AGVS,,92,,,,,,WW,237,WWED
WW00EE,AGVS,AGVS Message # 30,ASCII,6.4.1 AGVS Message Display,AGVS,,93,,,,,,WW,238,WWEE
WW00EF,AGVS,AGVS Message # 31,ASCII,6.4.1 AGVS Message Display,AGVS,,94,,,,,,WW,239,WWEF
WW00F0,AGVS,AGVS Message # 32,ASCII,6.4.1 AGVS Message Display,AGVS,,95,,,,,,WW,240,WWF0
WW00F1,AGVS,AGVS Message # 33,ASCII,6.4.1 AGVS Message Display,AGVS,,96,,,,,,WW,241,WWF1
WW00F2,AGVS,AGVS Message # 34,ASCII,6.4.1 AGVS Message Display,AGVS,,97,,,,,,WW,242,WWF2
WW00F3,AGVS,AGVS Message # 35,ASCII,6.4.1 AGVS Message Display,AGVS,,98,,,,,,WW,243,WWF3
WW00F4,AGVS,AGVS Message # 36,ASCII,6.4.1 AGVS Message Display,AGVS,,99,,,,,,WW,244,WWF4
WW00F5,AGVS,AGVS Message # 37,ASCII,6.4.1 AGVS Message Display,AGVS,,100,,,,,,WW,245,WWF5
WW00F6,AGVS,AGVS Message # 38,ASCII,6.4.1 AGVS Message Display,AGVS,,101,,,,,,WW,246,WWF6
WW00F7,AGVS,AGVS Message # 39,ASCII,6.4.1 AGVS Message Display,AGVS,,102,,,,,,WW,247,WWF7
WW00F8,AGVS,AGVS Message # 40,ASCII,6.4.1 AGVS Message Display,AGVS,,103,,,,,,WW,248,WWF8
WW00F9,AGVS,AGVS Message # 41,ASCII,6.4.1 AGVS Message Display,AGVS,,104,,,,,,WW,249,WWF9
WW00FA,AGVS,AGVS Message # 42,ASCII,6.4.1 AGVS Message Display,AGVS,,105,,,,,,WW,250,WWFA
WW00FB,AGVS,AGVS Message # 43,ASCII,6.4.1 AGVS Message Display,AGVS,,106,,,,,,WW,251,WWFB
WW00FC,AGVS,AGVS Message # 44,ASCII,6.4.1 AGVS Message Display,AGVS,,107,,,,,,WW,252,WWFC
WW00FD,AGVS,AGVS Message # 45,ASCII,6.4.1 AGVS Message Display,AGVS,,108,,,,,,WW,253,WWFD
WW00FE,AGVS,AGVS Message # 46,ASCII,6.4.1 AGVS Message Display,AGVS,,109,,,,,,WW,254,WWFE
WW00FF,AGVS,AGVS Message # 47,ASCII,6.4.1 AGVS Message Display,AGVS,,110,,,,,,WW,255,WWFF
WW0100,AGVS,AGVS Message # 48,ASCII,6.4.1 AGVS Message Display,AGVS,,111,,,,,,WW,256,WW100
WW0101,AGVS,AGVS Message # 49,ASCII,6.4.1 AGVS Message Display,AGVS,,112,,,,,,WW,257,WW101
WW0102,AGVS,AGVS Message # 50,ASCII,6.4.1 AGVS Message Display,AGVS,,113,,,,,,WW,258,WW102
WW0103,AGVS,AGVS Message # 51,ASCII,6.4.1 AGVS Message Display,AGVS,,114,,,,,,WW,259,WW103
WW0104,AGVS,AGVS Message # 52,ASCII,6.4.1 AGVS Message Display,AGVS,,115,,,,,,WW,260,WW104
WW0105,AGVS,AGVS Message # 53,ASCII,6.4.1 AGVS Message Display,AGVS,,116,,,,,,WW,261,WW105
WW0106,AGVS,AGVS Message # 54,ASCII,6.4.1 AGVS Message Display,AGVS,,117,,,,,,WW,262,WW106
WW0107,AGVS,AGVS Message # 55,ASCII,6.4.1 AGVS Message Display,AGVS,,118,,,,,,WW,263,WW107
WW0108,AGVS,AGVS Message # 56,ASCII,6.4.1 AGVS Message Display,AGVS,,119,,,,,,WW,264,WW108
WW0109,AGVS,AGVS Message # 57,ASCII,6.4.1 AGVS Message Display,AGVS,,120,,,,,,WW,265,WW109
WW010A,AGVS,AGVS Message # 58,ASCII,6.4.1 AGVS Message Display,AGVS,,121,,,,,,WW,266,WW10A
WW010B,AGVS,AGVS Message # 59,ASCII,6.4.1 AGVS Message Display,AGVS,,122,,,,,,WW,267,WW10B
WW010C,AGVS,AGVS Message # 60,ASCII,6.4.1 AGVS Message Display,AGVS,,123,,,,,,WW,268,WW10C
WW010D,AGVS,AGVS Message # 61,ASCII,6.4.1 AGVS Message Display,AGVS,,124,,,,,,WW,269,WW10D
WW010E,AGVS,AGVS Message # 62,ASCII,6.4.1 AGVS Message Display,AGVS,,125,,,,,,WW,270,WW10E
WW010F,AGVS,AGVS Message # 63,ASCII,6.4.1 AGVS Message Display,AGVS,,126,,,,,,WW,271,WW10F
WW0110,AGVS,AGVS Message # 64,ASCII,6.4.1 AGVS Message Display,AGVS,,127,,,,,,WW,272,WW110
WW0111,AGVS,AGVS Message # 65,ASCII,6.4.1 AGVS Message Display,AGVS,,128,,,,,,WW,273,WW111
WW0112,AGVS,AGVS Message # 66,ASCII,6.4.1 AGVS Message Display,AGVS,,129,,,,,,WW,274,WW112
WW0113,AGVS,AGVS Message # 67,ASCII,6.4.1 AGVS Message Display,AGVS,,130,,,,,,WW,275,WW113
WW0114,AGVS,AGVS Message # 68,ASCII,6.4.1 AGVS Message Display,AGVS,,131,,,,,,WW,276,WW114
WW0115,AGVS,AGVS Message # 69,ASCII,6.4.1 AGVS Message Display,AGVS,,132,,,,,,WW,277,WW115
WW0116,AGVS,AGVS Message # 70,ASCII,6.4.1 AGVS Message Display,AGVS,,133,,,,,,WW,278,WW116
WW0117,AGVS,AGVS Message # 71,ASCII,6.4.1 AGVS Message Display,AGVS,,134,,,,,,WW,279,WW117
WW0118,AGVS,AGVS Message # 72,ASCII,6.4.1 AGVS Message Display,AGVS,,135,,,,,,WW,280,WW118
WW0119,AGVS,AGVS Message # 73,ASCII,6.4.1 AGVS Message Display,AGVS,,136,,,,,,WW,281,WW119
WW011A,AGVS,AGVS Message # 74,ASCII,6.4.1 AGVS Message Display,AGVS,,137,,,,,,WW,282,WW11A
WW011B,AGVS,AGVS Message # 75,ASCII,6.4.1 AGVS Message Display,AGVS,,138,,,,,,WW,283,WW11B
WW011C,AGVS,AGVS Message # 76,ASCII,6.4.1 AGVS Message Display,AGVS,,139,,,,,,WW,284,WW11C
WW011D,AGVS,AGVS Message # 77,ASCII,6.4.1 AGVS Message Display,AGVS,,140,,,,,,WW,285,WW11D
WW011E,AGVS,AGVS Message # 78,ASCII,6.4.1 AGVS Message Display,AGVS,,141,,,,,,WW,286,WW11E
WW011F,AGVS,AGVS Message # 79,ASCII,6.4.1 AGVS Message Display,AGVS,,142,,,,,,WW,287,WW11F
WW0120,AGVS,AGVS Message # 80,ASCII,6.4.1 AGVS Message Display,AGVS,,143,,,,,,WW,288,WW120
WW0121,AGVS,,,,AGVS,,144,,,,,,WW,289,WW121
WW0122,AGVS,MCS Message Download Index,Binary,6.4.2 MCS Message Display,AGVS,,145,,,,,,WW,290,WW122
WW0123,AGVS,MCS Message # 1,ASCII,6.4.2 MCS Message Display,AGVS,,146,,,,,,WW,291,WW123
WW0124,AGVS,MCS Message # 2,ASCII,6.4.2 MCS Message Display,AGVS,,147,,,,,,WW,292,WW124
WW0125,AGVS,MCS Message # 3,ASCII,6.4.2 MCS Message Display,AGVS,,148,,,,,,WW,293,WW125
WW0126,AGVS,MCS Message # 4,ASCII,6.4.2 MCS Message Display,AGVS,,149,,,,,,WW,294,WW126
WW0127,AGVS,MCS Message # 5,ASCII,6.4.2 MCS Message Display,AGVS,,150,,,,,,WW,295,WW127
WW0128,AGVS,MCS Message # 6,ASCII,6.4.2 MCS Message Display,AGVS,,151,,,,,,WW,296,WW128
WW0129,AGVS,MCS Message # 7,ASCII,6.4.2 MCS Message Display,AGVS,,152,,,,,,WW,297,WW129
WW012A,AGVS,MCS Message # 8,ASCII,6.4.2 MCS Message Display,AGVS,,153,,,,,,WW,298,WW12A
WW012B,AGVS,MCS Message # 9,ASCII,6.4.2 MCS Message Display,AGVS,,154,,,,,,WW,299,WW12B
WW012C,AGVS,MCS Message # 10,ASCII,6.4.2 MCS Message Display,AGVS,,155,,,,,,WW,300,WW12C
WW012D,AGVS,MCS Message # 11,ASCII,6.4.2 MCS Message Display,AGVS,,156,,,,,,WW,301,WW12D
WW012E,AGVS,MCS Message # 12,ASCII,6.4.2 MCS Message Display,AGVS,,157,,,,,,WW,302,WW12E
WW012F,AGVS,MCS Message # 13,ASCII,6.4.2 MCS Message Display,AGVS,,158,,,,,,WW,303,WW12F
WW0130,AGVS,MCS Message # 14,ASCII,6.4.2 MCS Message Display,AGVS,,159,,,,,,WW,304,WW130
WW0131,AGVS,MCS Message # 15,ASCII,6.4.2 MCS Message Display,AGVS,,160,,,,,,WW,305,WW131
WW0132,AGVS,MCS Message # 16,ASCII,6.4.2 MCS Message Display,AGVS,,161,,,,,,WW,306,WW132
WW0133,AGVS,MCS Message # 17,ASCII,6.4.2 MCS Message Display,AGVS,,162,,,,,,WW,307,WW133
WW0134,AGVS,MCS Message # 18,ASCII,6.4.2 MCS Message Display,AGVS,,163,,,,,,WW,308,WW134
WW0135,AGVS,MCS Message # 19,ASCII,6.4.2 MCS Message Display,AGVS,,164,,,,,,WW,309,WW135
WW0136,AGVS,MCS Message # 20,ASCII,6.4.2 MCS Message Display,AGVS,,165,,,,,,WW,310,WW136
WW0137,AGVS,MCS Message # 21,ASCII,6.4.2 MCS Message Display,AGVS,,166,,,,,,WW,311,WW137
WW0138,AGVS,MCS Message # 22,ASCII,6.4.2 MCS Message Display,AGVS,,167,,,,,,WW,312,WW138
WW0139,AGVS,MCS Message # 23,ASCII,6.4.2 MCS Message Display,AGVS,,168,,,,,,WW,313,WW139
WW013A,AGVS,MCS Message # 24,ASCII,6.4.2 MCS Message Display,AGVS,,169,,,,,,WW,314,WW13A
WW013B,AGVS,MCS Message # 25,ASCII,6.4.2 MCS Message Display,AGVS,,170,,,,,,WW,315,WW13B
WW013C,AGVS,MCS Message # 26,ASCII,6.4.2 MCS Message Display,AGVS,,171,,,,,,WW,316,WW13C
WW013D,AGVS,MCS Message # 27,ASCII,6.4.2 MCS Message Display,AGVS,,172,,,,,,WW,317,WW13D
WW013E,AGVS,MCS Message # 28,ASCII,6.4.2 MCS Message Display,AGVS,,173,,,,,,WW,318,WW13E
WW013F,AGVS,MCS Message # 29,ASCII,6.4.2 MCS Message Display,AGVS,,174,,,,,,WW,319,WW13F
WW0140,AGVS,MCS Message # 30,ASCII,6.4.2 MCS Message Display,AGVS,,175,,,,,,WW,320,WW140
WW0141,AGVS,MCS Message # 31,ASCII,6.4.2 MCS Message Display,AGVS,,176,,,,,,WW,321,WW141
WW0142,AGVS,MCS Message # 32,ASCII,6.4.2 MCS Message Display,AGVS,,177,,,,,,WW,322,WW142
WW0143,AGVS,MCS Message # 33,ASCII,6.4.2 MCS Message Display,AGVS,,178,,,,,,WW,323,WW143
WW0144,AGVS,MCS Message # 34,ASCII,6.4.2 MCS Message Display,AGVS,,179,,,,,,WW,324,WW144
WW0145,AGVS,MCS Message # 35,ASCII,6.4.2 MCS Message Display,AGVS,,180,,,,,,WW,325,WW145
WW0146,AGVS,MCS Message # 36,ASCII,6.4.2 MCS Message Display,AGVS,,181,,,,,,WW,326,WW146
WW0147,AGVS,MCS Message # 37,ASCII,6.4.2 MCS Message Display,AGVS,,182,,,,,,WW,327,WW147
WW0148,AGVS,MCS Message # 38,ASCII,6.4.2 MCS Message Display,AGVS,,183,,,,,,WW,328,WW148
WW0149,AGVS,MCS Message # 39,ASCII,6.4.2 MCS Message Display,AGVS,,184,,,,,,WW,329,WW149
WW014A,AGVS,MCS Message # 40,ASCII,6.4.2 MCS Message Display,AGVS,,185,,,,,,WW,330,WW14A
WW014B,AGVS,MCS Message # 41,ASCII,6.4.2 MCS Message Display,AGVS,,186,,,,,,WW,331,WW14B
WW014C,AGVS,MCS Message # 42,ASCII,6.4.2 MCS Message Display,AGVS,,187,,,,,,WW,332,WW14C
WW014D,AGVS,MCS Message # 43,ASCII,6.4.2 MCS Message Display,AGVS,,188,,,,,,WW,333,WW14D
WW014E,AGVS,MCS Message # 44,ASCII,6.4.2 MCS Message Display,AGVS,,189,,,,,,WW,334,WW14E
WW014F,AGVS,MCS Message # 45,ASCII,6.4.2 MCS Message Display,AGVS,,190,,,,,,WW,335,WW14F
WW0150,AGVS,MCS Message # 46,ASCII,6.4.2 MCS Message Display,AGVS,,191,,,,,,WW,336,WW150
WW0151,AGVS,MCS Message # 47,ASCII,6.4.2 MCS Message Display,AGVS,,192,,,,,,WW,337,WW151
WW0152,AGVS,MCS Message # 48,ASCII,6.4.2 MCS Message Display,AGVS,,193,,,,,,WW,338,WW152
WW0153,AGVS,MCS Message # 49,ASCII,6.4.2 MCS Message Display,AGVS,,194,,,,,,WW,339,WW153
WW0154,AGVS,MCS Message # 50,ASCII,6.4.2 MCS Message Display,AGVS,,195,,,,,,WW,340,WW154
WW0155,AGVS,MCS Message # 51,ASCII,6.4.2 MCS Message Display,AGVS,,196,,,,,,WW,341,WW155
WW0156,AGVS,MCS Message # 52,ASCII,6.4.2 MCS Message Display,AGVS,,197,,,,,,WW,342,WW156
WW0157,AGVS,MCS Message # 53,ASCII,6.4.2 MCS Message Display,AGVS,,198,,,,,,WW,343,WW157
WW0158,AGVS,MCS Message # 54,ASCII,6.4.2 MCS Message Display,AGVS,,199,,,,,,WW,344,WW158
WW0159,AGVS,MCS Message # 55,ASCII,6.4.2 MCS Message Display,AGVS,,200,,,,,,WW,345,WW159
WW015A,AGVS,MCS Message # 56,ASCII,6.4.2 MCS Message Display,AGVS,,201,,,,,,WW,346,WW15A
WW015B,AGVS,MCS Message # 57,ASCII,6.4.2 MCS Message Display,AGVS,,202,,,,,,WW,347,WW15B
WW015C,AGVS,MCS Message # 58,ASCII,6.4.2 MCS Message Display,AGVS,,203,,,,,,WW,348,WW15C
WW015D,AGVS,MCS Message # 59,ASCII,6.4.2 MCS Message Display,AGVS,,204,,,,,,WW,349,WW15D
WW015E,AGVS,MCS Message # 60,ASCII,6.4.2 MCS Message Display,AGVS,,205,,,,,,WW,350,WW15E
WW015F,AGVS,MCS Message # 61,ASCII,6.4.2 MCS Message Display,AGVS,,206,,,,,,WW,351,WW15F
WW0160,AGVS,MCS Message # 62,ASCII,6.4.2 MCS Message Display,AGVS,,207,,,,,,WW,352,WW160
WW0161,AGVS,MCS Message # 63,ASCII,6.4.2 MCS Message Display,AGVS,,208,,,,,,WW,353,WW161
WW0162,AGVS,MCS Message # 64,ASCII,6.4.2 MCS Message Display,AGVS,,209,,,,,,WW,354,WW162
WW0163,AGVS,MCS Message # 65,ASCII,6.4.2 MCS Message Display,AGVS,,210,,,,,,WW,355,WW163
WW0164,AGVS,MCS Message # 66,ASCII,6.4.2 MCS Message Display,AGVS,,211,,,,,,WW,356,WW164
WW0165,AGVS,MCS Message # 67,ASCII,6.4.2 MCS Message Display,AGVS,,212,,,,,,WW,357,WW165
WW0166,AGVS,MCS Message # 68,ASCII,6.4.2 MCS Message Display,AGVS,,213,,,,,,WW,358,WW166
WW0167,AGVS,MCS Message # 69,ASCII,6.4.2 MCS Message Display,AGVS,,214,,,,,,WW,359,WW167
WW0168,AGVS,MCS Message # 70,ASCII,6.4.2 MCS Message Display,AGVS,,215,,,,,,WW,360,WW168
WW0169,AGVS,MCS Message # 71,ASCII,6.4.2 MCS Message Display,AGVS,,216,,,,,,WW,361,WW169
WW016A,AGVS,MCS Message # 72,ASCII,6.4.2 MCS Message Display,AGVS,,217,,,,,,WW,362,WW16A
WW016B,AGVS,MCS Message # 73,ASCII,6.4.2 MCS Message Display,AGVS,,218,,,,,,WW,363,WW16B
WW016C,AGVS,MCS Message # 74,ASCII,6.4.2 MCS Message Display,AGVS,,219,,,,,,WW,364,WW16C
WW016D,AGVS,MCS Message # 75,ASCII,6.4.2 MCS Message Display,AGVS,,220,,,,,,WW,365,WW16D
WW016E,AGVS,MCS Message # 76,ASCII,6.4.2 MCS Message Display,AGVS,,221,,,,,,WW,366,WW16E
WW016F,AGVS,MCS Message # 77,ASCII,6.4.2 MCS Message Display,AGVS,,222,,,,,,WW,367,WW16F
WW0170,AGVS,MCS Message # 78,ASCII,6.4.2 MCS Message Display,AGVS,,223,,,,,,WW,368,WW170
WW0171,AGVS,MCS Message # 79,ASCII,6.4.2 MCS Message Display,AGVS,,224,,,,,,WW,369,WW171
WW0172,AGVS,MCS Message # 80,ASCII,6.4.2 MCS Message Display,AGVS,,225,,,,,,WW,370,WW172
WW0173,AGVS,MCS Message # 81,ASCII,6.4.2 MCS Message Display,AGVS,,226,,,,,,WW,371,WW173
WW0174,AGVS,MCS Message # 82,ASCII,6.4.2 MCS Message Display,AGVS,,227,,,,,,WW,372,WW174
WW0175,AGVS,MCS Message # 83,ASCII,6.4.2 MCS Message Display,AGVS,,228,,,,,,WW,373,WW175
WW0176,AGVS,MCS Message # 84,ASCII,6.4.2 MCS Message Display,AGVS,,229,,,,,,WW,374,WW176
WW0177,AGVS,MCS Message # 85,ASCII,6.4.2 MCS Message Display,AGVS,,230,,,,,,WW,375,WW177
WW0178,AGVS,MCS Message # 86,ASCII,6.4.2 MCS Message Display,AGVS,,231,,,,,,WW,376,WW178
WW0179,AGVS,MCS Message # 87,ASCII,6.4.2 MCS Message Display,AGVS,,232,,,,,,WW,377,WW179
WW017A,AGVS,MCS Message # 88,ASCII,6.4.2 MCS Message Display,AGVS,,233,,,,,,WW,378,WW17A
WW017B,AGVS,MCS Message # 89,ASCII,6.4.2 MCS Message Display,AGVS,,234,,,,,,WW,379,WW17B
WW017C,AGVS,MCS Message # 90,ASCII,6.4.2 MCS Message Display,AGVS,,235,,,,,,WW,380,WW17C
WW017D,AGVS,MCS Message # 91,ASCII,6.4.2 MCS Message Display,AGVS,,236,,,,,,WW,381,WW17D
WW017E,AGVS,MCS Message # 92,ASCII,6.4.2 MCS Message Display,AGVS,,237,,,,,,WW,382,WW17E
WW017F,AGVS,MCS Message # 93,ASCII,6.4.2 MCS Message Display,AGVS,,238,,,,,,WW,383,WW17F
WW0180,AGVS,MCS Message # 94,ASCII,6.4.2 MCS Message Display,AGVS,,239,,,,,,WW,384,WW180
WW0181,AGVS,MCS Message # 95,ASCII,6.4.2 MCS Message Display,AGVS,,240,,,,,,WW,385,WW181
WW0182,AGVS,MCS Message # 96,ASCII,6.4.2 MCS Message Display,AGVS,,241,,,,,,WW,386,WW182
WW0183,AGVS,MCS Message # 97,ASCII,6.4.2 MCS Message Display,AGVS,,242,,,,,,WW,387,WW183
WW0184,AGVS,MCS Message # 98,ASCII,6.4.2 MCS Message Display,AGVS,,243,,,,,,WW,388,WW184
WW0185,AGVS,MCS Message # 99,ASCII,6.4.2 MCS Message Display,AGVS,,244,,,,,,WW,389,WW185
WW0186,AGVS,MCS Message # 100,ASCII,6.4.2 MCS Message Display,AGVS,,245,,,,,,WW,390,WW186
WW0187,AGVS,,,,AGVS,,,,,,,,WW,391,WW187
WW0188,AGVS,,,,AGVS,,,,,,,,WW,392,WW188
WW0189,AGVS,,,,AGVS,,,,,,,,WW,393,WW189
WW018A,AGVS,,,,AGVS,,,,,,,,WW,394,WW18A
WW018B,AGVS,,,,AGVS,,,,,,,,WW,395,WW18B
WW018C,AGVS,,,,AGVS,,,,,,,,WW,396,WW18C
WW018D,AGVS,,,,AGVS,,,,,,,,WW,397,WW18D
WW018E,AGVS,,,,AGVS,,,,,,,,WW,398,WW18E
WW018F,AGVS,,,,AGVS,,,,,,,,WW,399,WW18F
WW0190,AGVS,Interface Clock ,Binary,6.1 Alive Check,AGVS,,55,,,,,,WW,400,WW190
WW0191,AGVS,,,,,,56,,,,,,WW,401,WW191
WW0192,AGVS,Port1 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT1,,57,,,,,,WW,402,WW192
WW0193,AGVS,Port2 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT2,,58,,,,,,WW,403,WW193
WW0194,AGVS,,,,,,59,,,,,,WW,404,WW194
WW0195,AGVS,,,,,,60,,,,,,WW,405,WW195
WW0196,AGVS,AGVS Message Download Index,Binary,6.4.1 AGVS Message Display,AGVS,,61,,,,,,WW,406,WW196
WW0197,AGVS,Trigger Equipment,Binary,6.4.1 AGVS Message Display,AGVS,,62,,,,,,WW,407,WW197
WW0198,AGVS,Buzzer Flag,Binary,6.4.1 AGVS Message Display,AGVS,,63,,,,,,WW,408,WW198
WW0199,AGVS,AGVS Message # 1,ASCII,6.4.1 AGVS Message Display,AGVS,,64,,,,,,WW,409,WW199
WW019A,AGVS,AGVS Message # 2,ASCII,6.4.1 AGVS Message Display,AGVS,,65,,,,,,WW,410,WW19A
WW019B,AGVS,AGVS Message # 3,ASCII,6.4.1 AGVS Message Display,AGVS,,66,,,,,,WW,411,WW19B
WW019C,AGVS,AGVS Message # 4,ASCII,6.4.1 AGVS Message Display,AGVS,,67,,,,,,WW,412,WW19C
WW019D,AGVS,AGVS Message # 5,ASCII,6.4.1 AGVS Message Display,AGVS,,68,,,,,,WW,413,WW19D
WW019E,AGVS,AGVS Message # 6,ASCII,6.4.1 AGVS Message Display,AGVS,,69,,,,,,WW,414,WW19E
WW019F,AGVS,AGVS Message # 7,ASCII,6.4.1 AGVS Message Display,AGVS,,70,,,,,,WW,415,WW19F
WW01A0,AGVS,AGVS Message # 8,ASCII,6.4.1 AGVS Message Display,AGVS,,71,,,,,,WW,416,WW1A0
WW01A1,AGVS,AGVS Message # 9,ASCII,6.4.1 AGVS Message Display,AGVS,,72,,,,,,WW,417,WW1A1
WW01A2,AGVS,AGVS Message # 10,ASCII,6.4.1 AGVS Message Display,AGVS,,73,,,,,,WW,418,WW1A2
WW01A3,AGVS,AGVS Message # 11,ASCII,6.4.1 AGVS Message Display,AGVS,,74,,,,,,WW,419,WW1A3
WW01A4,AGVS,AGVS Message # 12,ASCII,6.4.1 AGVS Message Display,AGVS,,75,,,,,,WW,420,WW1A4
WW01A5,AGVS,AGVS Message # 13,ASCII,6.4.1 AGVS Message Display,AGVS,,76,,,,,,WW,421,WW1A5
WW01A6,AGVS,AGVS Message # 14,ASCII,6.4.1 AGVS Message Display,AGVS,,77,,,,,,WW,422,WW1A6
WW01A7,AGVS,AGVS Message # 15,ASCII,6.4.1 AGVS Message Display,AGVS,,78,,,,,,WW,423,WW1A7
WW01A8,AGVS,AGVS Message # 16,ASCII,6.4.1 AGVS Message Display,AGVS,,79,,,,,,WW,424,WW1A8
WW01A9,AGVS,AGVS Message # 17,ASCII,6.4.1 AGVS Message Display,AGVS,,80,,,,,,WW,425,WW1A9
WW01AA,AGVS,AGVS Message # 18,ASCII,6.4.1 AGVS Message Display,AGVS,,81,,,,,,WW,426,WW1AA
WW01AB,AGVS,AGVS Message # 19,ASCII,6.4.1 AGVS Message Display,AGVS,,82,,,,,,WW,427,WW1AB
WW01AC,AGVS,AGVS Message # 20,ASCII,6.4.1 AGVS Message Display,AGVS,,83,,,,,,WW,428,WW1AC
WW01AD,AGVS,AGVS Message # 21,ASCII,6.4.1 AGVS Message Display,AGVS,,84,,,,,,WW,429,WW1AD
WW01AE,AGVS,AGVS Message # 22,ASCII,6.4.1 AGVS Message Display,AGVS,,85,,,,,,WW,430,WW1AE
WW01AF,AGVS,AGVS Message # 23,ASCII,6.4.1 AGVS Message Display,AGVS,,86,,,,,,WW,431,WW1AF
WW01B0,AGVS,AGVS Message # 24,ASCII,6.4.1 AGVS Message Display,AGVS,,87,,,,,,WW,432,WW1B0
WW01B1,AGVS,AGVS Message # 25,ASCII,6.4.1 AGVS Message Display,AGVS,,88,,,,,,WW,433,WW1B1
WW01B2,AGVS,AGVS Message # 26,ASCII,6.4.1 AGVS Message Display,AGVS,,89,,,,,,WW,434,WW1B2
WW01B3,AGVS,AGVS Message # 27,ASCII,6.4.1 AGVS Message Display,AGVS,,90,,,,,,WW,435,WW1B3
WW01B4,AGVS,AGVS Message # 28,ASCII,6.4.1 AGVS Message Display,AGVS,,91,,,,,,WW,436,WW1B4
WW01B5,AGVS,AGVS Message # 29,ASCII,6.4.1 AGVS Message Display,AGVS,,92,,,,,,WW,437,WW1B5
WW01B6,AGVS,AGVS Message # 30,ASCII,6.4.1 AGVS Message Display,AGVS,,93,,,,,,WW,438,WW1B6
WW01B7,AGVS,AGVS Message # 31,ASCII,6.4.1 AGVS Message Display,AGVS,,94,,,,,,WW,439,WW1B7
WW01B8,AGVS,AGVS Message # 32,ASCII,6.4.1 AGVS Message Display,AGVS,,95,,,,,,WW,440,WW1B8
WW01B9,AGVS,AGVS Message # 33,ASCII,6.4.1 AGVS Message Display,AGVS,,96,,,,,,WW,441,WW1B9
WW01BA,AGVS,AGVS Message # 34,ASCII,6.4.1 AGVS Message Display,AGVS,,97,,,,,,WW,442,WW1BA
WW01BB,AGVS,AGVS Message # 35,ASCII,6.4.1 AGVS Message Display,AGVS,,98,,,,,,WW,443,WW1BB
WW01BC,AGVS,AGVS Message # 36,ASCII,6.4.1 AGVS Message Display,AGVS,,99,,,,,,WW,444,WW1BC
WW01BD,AGVS,AGVS Message # 37,ASCII,6.4.1 AGVS Message Display,AGVS,,100,,,,,,WW,445,WW1BD
WW01BE,AGVS,AGVS Message # 38,ASCII,6.4.1 AGVS Message Display,AGVS,,101,,,,,,WW,446,WW1BE
WW01BF,AGVS,AGVS Message # 39,ASCII,6.4.1 AGVS Message Display,AGVS,,102,,,,,,WW,447,WW1BF
WW01C0,AGVS,AGVS Message # 40,ASCII,6.4.1 AGVS Message Display,AGVS,,103,,,,,,WW,448,WW1C0
