Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,Memory Type _ 1,Memory Address,
X0032,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,TS_3,,,,,,,X,50,X32
X0033,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,TS_3,,,,,,,X,51,X33
X0034,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,TS_3,,,,,,,X,52,X34
X0035,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,TS_3,,,,,,,X,53,X35
X0036,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,TS_3,,,,,,,X,54,X36
X0037,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,TS_3,,,,,,,X,55,X37
X0038,EQP,EQP Status Run,Boolean,,PORT1,EQP_RUN,9,TS_3,,,,,,,X,56,X38
X0039,EQP,EQP Status Idle,Boolean,,PORT1,EQP_IDLE,10,TS_3,,,,,,,X,57,X39
X003A,EQP,EQP Status Down,Boolean,,PORT1,EQP_DOWN,11,TS_3,,,,,,,X,58,X3A
X003B,EQP,Carrier WaitIn System Request (Flag),Boolean,,PORT1,Carrier_WaitIn_System_Request,12,TS_3,,,,,,,X,59,X3B
X003C,EQP,Carrier WaitOut System Report (Flag),Boolean,,PORT1,Carrier_WaitOut_System_Report,13,TS_3,,,,,,,X,60,X3C
X003D,EQP,Carrier Removed Completed Report,Boolean,,PORT1,Carrier_Removed_Completed_Report,14,TS_3,,,,,,,X,61,X3D
X003E,EQP,Port Mode Change Accept (Flag),Boolean,,PORT1,Port_Mode_Change_Accept,15,TS_3,,,,,,,X,62,X3E
X003F,EQP,Port Mode Changed Refuse (Flag),Boolean,,PORT1,Port_Mode_Changed_Refuse,16,TS_3,,,,,,,X,63,X3F
X0040,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,TS_3_2,,,,,,,X,64,X40
X0041,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,TS_3_2,,,,,,,X,65,X41
X0042,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,TS_3_2,,,,,,,X,66,X42
X0043,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,TS_3_2,,,,,,,X,67,X43
X0044,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,TS_3_2,,,,,,,X,68,X44
X0045,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,TS_3_2,,,,,,,X,69,X45
X0046,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,TS_3_2,,,,,,,X,70,X46
X0047,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,TS_3_2,,,,,,,X,71,X47
X0048,EQP,EQP Status Run,Boolean,,PORT1,EQP_RUN,9,TS_3_2,,,,,,,X,72,X48
X0049,EQP,EQP Status Idle,Boolean,,PORT1,EQP_IDLE,10,TS_3_2,,,,,,,X,73,X49
X004A,EQP,EQP Status Down,Boolean,,PORT1,EQP_DOWN,11,TS_3_2,,,,,,,X,74,X4A
X004B,EQP,Carrier WaitIn System Request (Flag),Boolean,,PORT1,Carrier_WaitIn_System_Request,12,TS_3_2,,,,,,,X,75,X4B
X004C,EQP,Carrier WaitOut System Report (Flag),Boolean,,PORT1,Carrier_WaitOut_System_Report,13,TS_3_2,,,,,,,X,76,X4C
X004D,EQP,Carrier Removed Completed Report,Boolean,,PORT1,Carrier_Removed_Completed_Report,14,TS_3_2,,,,,,,X,77,X4D
X004E,EQP,Port Mode Change Accept (Flag),Boolean,,PORT1,Port_Mode_Change_Accept,15,TS_3_2,,,,,,,X,78,X4E
X004F,EQP,Port Mode Changed Refuse (Flag),Boolean,,PORT1,Port_Mode_Changed_Refuse,16,TS_3_2,,,,,,,X,79,X4F
X0050,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,STK,,,,,,,X,80,X50
X0051,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,STK,,,,,,,X,81,X51
X0052,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,STK,,,,,,,X,82,X52
X0053,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,STK,,,,,,,X,83,X53
X0054,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,STK,,,,,,,X,84,X54
X0055,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,STK,,,,,,,X,85,X55
X0056,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,STK,,,,,,,X,86,X56
X0057,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,STK,,,,,,,X,87,X57
X0058,EQP,,Boolean,,PORT1,,9,STK,,,,,,,X,88,X58
X0059,EQP,,Boolean,,PORT1,,10,STK,,,,,,,X,89,X59
X005A,EQP,,Boolean,,PORT1,,11,STK,,,,,,,X,90,X5A
X005B,EQP,,Boolean,,PORT1,,12,STK,,,,,,,X,91,X5B
X005C,EQP,,Boolean,,PORT1,,13,STK,,,,,,,X,92,X5C
X005D,EQP,,Boolean,,PORT1,,14,STK,,,,,,,X,93,X5D
X005E,EQP,,Boolean,,PORT1,,15,STK,,,,,,,X,94,X5E
X005F,EQP,,Boolean,,PORT1,,16,STK,,,,,,,X,95,X5F
X0060,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,STK,,,,,,,X,96,X60
X0061,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,STK,,,,,,,X,97,X61
X0062,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,STK,,,,,,,X,98,X62
X0063,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,STK,,,,,,,X,99,X63
X0064,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,STK,,,,,,,X,100,X64
X0065,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,STK,,,,,,,X,101,X65
X0066,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,STK,,,,,,,X,102,X66
X0067,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,STK,,,,,,,X,103,X67
X0068,EQP,,Boolean,,PORT2,,9,STK,,,,,,,X,104,X68
X0069,EQP,,Boolean,,PORT2,,10,STK,,,,,,,X,105,X69
X006A,EQP,,Boolean,,PORT2,,11,STK,,,,,,,X,106,X6A
X006B,EQP,,Boolean,,PORT2,,12,STK,,,,,,,X,107,X6B
X006C,EQP,,Boolean,,PORT2,,13,STK,,,,,,,X,108,X6C
X006D,EQP,,Boolean,,PORT2,,14,STK,,,,,,,X,109,X6D
X006E,EQP,,Boolean,,PORT2,,15,STK,,,,,,,X,110,X6E
X006F,EQP,,Boolean,,PORT2,,16,STK,,,,,,,X,111,X6F
X0070,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,QV,,,,,,,X,112,X70
X0071,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,QV,,,,,,,X,113,X71
X0072,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,QV,,,,,,,X,114,X72
X0073,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,QV,,,,,,,X,115,X73
X0074,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,QV,,,,,,,X,116,X74
X0075,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,QV,,,,,,,X,117,X75
X0076,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,QV,,,,,,,X,118,X76
X0077,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,QV,,,,,,,X,119,X77
