Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,Memory Type _ 1,Memory Address,
X00FE,EQP,,Boolean,,PORT1,,15,AOS_1,,,,,,,X,254,XFE
X00FF,EQP,,Boolean,,PORT1,,16,AOS_1,,,,,,,X,255,XFF
X0100,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,AOS_1,,,,,,,X,256,X100
X0101,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,AOS_1,,,,,,,X,257,X101
X0102,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,AOS_1,,,,,,,X,258,X102
X0103,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,AOS_1,,,,,,,X,259,X103
X0104,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,AOS_1,,,,,,,X,260,X104
X0105,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,AOS_1,,,,,,,X,261,X105
X0106,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,AOS_1,,,,,,,X,262,X106
X0107,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,AOS_1,,,,,,,X,263,X107
X0108,EQP,,Boolean,,PORT2,,9,AOS_1,,,,,,,X,264,X108
X0109,EQP,,Boolean,,PORT2,,10,AOS_1,,,,,,,X,265,X109
X010A,EQP,,Boolean,,PORT2,,11,AOS_1,,,,,,,X,266,X10A
X010B,EQP,,Boolean,,PORT2,,12,AOS_1,,,,,,,X,267,X10B
X010C,EQP,,Boolean,,PORT2,,13,AOS_1,,,,,,,X,268,X10C
X010D,EQP,,Boolean,,PORT2,,14,AOS_1,,,,,,,X,269,X10D
X010E,EQP,,Boolean,,PORT2,,15,AOS_1,,,,,,,X,270,X10E
X010F,EQP,,Boolean,,PORT2,,16,AOS_1,,,,,,,X,271,X10F
X0110,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,AOS_2,,,,,,,X,272,X110
X0111,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,AOS_2,,,,,,,X,273,X111
X0112,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,AOS_2,,,,,,,X,274,X112
X0113,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,AOS_2,,,,,,,X,275,X113
X0114,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,AOS_2,,,,,,,X,276,X114
X0115,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,AOS_2,,,,,,,X,277,X115
X0116,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,AOS_2,,,,,,,X,278,X116
X0117,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,AOS_2,,,,,,,X,279,X117
X0118,EQP,,Boolean,,PORT1,,9,AOS_2,,,,,,,X,280,X118
X0119,EQP,,Boolean,,PORT1,,10,AOS_2,,,,,,,X,281,X119
X011A,EQP,,Boolean,,PORT1,,11,AOS_2,,,,,,,X,282,X11A
X011B,EQP,,Boolean,,PORT1,,12,AOS_2,,,,,,,X,283,X11B
X011C,EQP,,Boolean,,PORT1,,13,AOS_2,,,,,,,X,284,X11C
X011D,EQP,,Boolean,,PORT1,,14,AOS_2,,,,,,,X,285,X11D
X011E,EQP,,Boolean,,PORT1,,15,AOS_2,,,,,,,X,286,X11E
X011F,EQP,,Boolean,,PORT1,,16,AOS_2,,,,,,,X,287,X11F
X0120,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,AOS_2,,,,,,,X,288,X120
X0121,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,AOS_2,,,,,,,X,289,X121
X0122,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,AOS_2,,,,,,,X,290,X122
X0123,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,AOS_2,,,,,,,X,291,X123
X0124,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,AOS_2,,,,,,,X,292,X124
X0125,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,AOS_2,,,,,,,X,293,X125
X0126,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,AOS_2,,,,,,,X,294,X126
X0127,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,AOS_2,,,,,,,X,295,X127
X0128,EQP,,Boolean,,PORT2,,9,AOS_2,,,,,,,X,296,X128
X0129,EQP,,Boolean,,PORT2,,10,AOS_2,,,,,,,X,297,X129
X012A,EQP,,Boolean,,PORT2,,11,AOS_2,,,,,,,X,298,X12A
X012B,EQP,,Boolean,,PORT2,,12,AOS_2,,,,,,,X,299,X12B
X012C,EQP,,Boolean,,PORT2,,13,AOS_2,,,,,,,X,300,X12C
X012D,EQP,,Boolean,,PORT2,,14,AOS_2,,,,,,,X,301,X12D
X012E,EQP,,Boolean,,PORT2,,15,AOS_2,,,,,,,X,302,X12E
X012F,EQP,,Boolean,,PORT2,,16,AOS_2,,,,,,,X,303,X12F
X0130,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,AOS_3,,,,,,,X,304,X130
X0131,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,AOS_3,,,,,,,X,305,X131
X0132,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,AOS_3,,,,,,,X,306,X132
X0133,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,AOS_3,,,,,,,X,307,X133
X0134,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,AOS_3,,,,,,,X,308,X134
X0135,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,AOS_3,,,,,,,X,309,X135
X0136,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,AOS_3,,,,,,,X,310,X136
X0137,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,AOS_3,,,,,,,X,311,X137
X0138,EQP,,Boolean,,PORT1,,9,AOS_3,,,,,,,X,312,X138
X0139,EQP,,Boolean,,PORT1,,10,AOS_3,,,,,,,X,313,X139
X013A,EQP,,Boolean,,PORT1,,11,AOS_3,,,,,,,X,314,X13A
X013B,EQP,,Boolean,,PORT1,,12,AOS_3,,,,,,,X,315,X13B
X013C,EQP,,Boolean,,PORT1,,13,AOS_3,,,,,,,X,316,X13C
X013D,EQP,,Boolean,,PORT1,,14,AOS_3,,,,,,,X,317,X13D
X013E,EQP,,Boolean,,PORT1,,15,AOS_3,,,,,,,X,318,X13E
X013F,EQP,,Boolean,,PORT1,,16,AOS_3,,,,,,,X,319,X13F
X0140,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,AOS_3,,,,,,,X,320,X140
X0141,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,AOS_3,,,,,,,X,321,X141
X0142,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,AOS_3,,,,,,,X,322,X142
X0143,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,AOS_3,,,,,,,X,323,X143
X0144,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,AOS_3,,,,,,,X,324,X144
X0145,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,AOS_3,,,,,,,X,325,X145
X0146,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,AOS_3,,,,,,,X,326,X146
X0147,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,AOS_3,,,,,,,X,327,X147
X0148,EQP,,Boolean,,PORT2,,9,AOS_3,,,,,,,X,328,X148
X0149,EQP,,Boolean,,PORT2,,10,AOS_3,,,,,,,X,329,X149
X014A,EQP,,Boolean,,PORT2,,11,AOS_3,,,,,,,X,330,X14A
X014B,EQP,,Boolean,,PORT2,,12,AOS_3,,,,,,,X,331,X14B
X014C,EQP,,Boolean,,PORT2,,13,AOS_3,,,,,,,X,332,X14C
X014D,EQP,,Boolean,,PORT2,,14,AOS_3,,,,,,,X,333,X14D
X014E,EQP,,Boolean,,PORT2,,15,AOS_3,,,,,,,X,334,X14E
X014F,EQP,,Boolean,,PORT2,,16,AOS_3,,,,,,,X,335,X14F
X0150,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,AOS_4,,,,,,,X,336,X150
X0151,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,AOS_4,,,,,,,X,337,X151
X0152,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,AOS_4,,,,,,,X,338,X152
X0153,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,AOS_4,,,,,,,X,339,X153
X0154,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,AOS_4,,,,,,,X,340,X154
X0155,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,AOS_4,,,,,,,X,341,X155
X0156,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,AOS_4,,,,,,,X,342,X156
X0157,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,AOS_4,,,,,,,X,343,X157
X0158,EQP,,Boolean,,PORT1,,9,AOS_4,,,,,,,X,344,X158
X0159,EQP,,Boolean,,PORT1,,10,AOS_4,,,,,,,X,345,X159
X015A,EQP,,Boolean,,PORT1,,11,AOS_4,,,,,,,X,346,X15A
X015B,EQP,,Boolean,,PORT1,,12,AOS_4,,,,,,,X,347,X15B
X015C,EQP,,Boolean,,PORT1,,13,AOS_4,,,,,,,X,348,X15C
X015D,EQP,,Boolean,,PORT1,,14,AOS_4,,,,,,,X,349,X15D
X015E,EQP,,Boolean,,PORT1,,15,AOS_4,,,,,,,X,350,X15E
X015F,EQP,,Boolean,,PORT1,,16,AOS_4,,,,,,,X,351,X15F
X0160,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,AOS_4,,,,,,,X,352,X160
X0161,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,AOS_4,,,,,,,X,353,X161
X0162,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,AOS_4,,,,,,,X,354,X162
X0163,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,AOS_4,,,,,,,X,355,X163
X0164,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,AOS_4,,,,,,,X,356,X164
X0165,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,AOS_4,,,,,,,X,357,X165
X0166,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,AOS_4,,,,,,,X,358,X166
X0167,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,AOS_4,,,,,,,X,359,X167
X0168,EQP,,Boolean,,PORT2,,9,AOS_4,,,,,,,X,360,X168
X0169,EQP,,Boolean,,PORT2,,10,AOS_4,,,,,,,X,361,X169
X016A,EQP,,Boolean,,PORT2,,11,AOS_4,,,,,,,X,362,X16A
X016B,EQP,,Boolean,,PORT2,,12,AOS_4,,,,,,,X,363,X16B
X016C,EQP,,Boolean,,PORT2,,13,AOS_4,,,,,,,X,364,X16C
X016D,EQP,,Boolean,,PORT2,,14,AOS_4,,,,,,,X,365,X16D
X016E,EQP,,Boolean,,PORT2,,15,AOS_4,,,,,,,X,366,X16E
X016F,EQP,,Boolean,,PORT2,,16,AOS_4,,,,,,,X,367,X16F
