MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,MemoY Type _ 1,MemoY Address,
Y002C,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,13,TS_2_2,,,,,,,Y,44,Y002C
Y002D,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,14,TS_2_2,,,,,,,Y,45,Y002D
Y002E,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,15,TS_2_2,,,,,,,Y,46,Y002E
Y002F,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,16,TS_2_2,,,,,,,Y,47,Y002F
Y0030,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,TS_3,,,,,,,Y,48,Y0030
Y0031,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,TS_3,,,,,,,Y,49,Y0031
Y0032,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,TS_3,,,,,,,Y,50,Y0032
Y0033,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,TS_3,,,,,,,Y,51,Y0033
Y0034,AGVS,,Boolean,,PORT1,,5,TS_3,,,,,,,Y,52,Y0034
Y0035,AGVS,Port_Mode_Change_Request,Boolean,,PORT1,Port_Mode_Change_Request,6,TS_3,,,,,,,Y,53,Y0035
Y0036,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,7,TS_3,,,,,,,Y,54,Y0036
Y0037,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,8,TS_3,,,,,,,Y,55,Y0037
Y0038,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,9,TS_3,,,,,,,Y,56,Y0038
Y0039,AGVS,,Boolean,,PORT1,,10,TS_3,,,,,,,Y,57,Y0039
Y003A,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT1,Carrier_WaitIn_System_Reply,11,TS_3,,,,,,,Y,58,Y003A
Y003B,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT1,Carrier_WaitIn_System_Accept,12,TS_3,,,,,,,Y,59,Y003B
Y003C,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,13,TS_3,,,,,,,Y,60,Y003C
Y003D,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,14,TS_3,,,,,,,Y,61,Y003D
Y003E,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,15,TS_3,,,,,,,Y,62,Y003E
Y003F,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,16,TS_3,,,,,,,Y,63,Y003F
Y0040,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,TS_3_2,,,,,,,Y,64,Y0040
Y0041,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,TS_3_2,,,,,,,Y,65,Y0041
Y0042,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,TS_3_2,,,,,,,Y,66,Y0042
Y0043,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,TS_3_2,,,,,,,Y,67,Y0043
Y0044,AGVS,,Boolean,,PORT1,,5,TS_3_2,,,,,,,Y,68,Y0044
Y0045,AGVS,Port_Mode_Change_Request,Boolean,,PORT1,Port_Mode_Change_Request,6,TS_3_2,,,,,,,Y,69,Y0045
Y0046,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,7,TS_3_2,,,,,,,Y,70,Y0046
Y0047,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,8,TS_3_2,,,,,,,Y,71,Y0047
Y0048,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,9,TS_3_2,,,,,,,Y,72,Y0048
Y0049,AGVS,,Boolean,,PORT1,,10,TS_3_2,,,,,,,Y,73,Y0049
Y004A,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT1,Carrier_WaitIn_System_Reply,11,TS_3_2,,,,,,,Y,74,Y004A
Y004B,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT1,Carrier_WaitIn_System_Accept,12,TS_3_2,,,,,,,Y,75,Y004B
Y004C,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,13,TS_3_2,,,,,,,Y,76,Y004C
Y004D,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,14,TS_3_2,,,,,,,Y,77,Y004D
Y004E,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,15,TS_3_2,,,,,,,Y,78,Y004E
Y004F,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,16,TS_3_2,,,,,,,Y,79,Y004F
Y0050,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,STK,,,,,,,Y,80,Y0050
Y0051,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,STK,,,,,,,Y,81,Y0051
Y0052,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,STK,,,,,,,Y,82,Y0052
Y0053,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,STK,,,,,,,Y,83,Y0053
Y0054,AGVS,,Boolean,,PORT1,,5,STK,,,,,,,Y,84,Y0054
Y0055,AGVS,,Boolean,,PORT1,,6,STK,,,,,,,Y,85,Y0055
Y0056,AGVS,,Boolean,,PORT1,,7,STK,,,,,,,Y,86,Y0056
Y0057,AGVS,,Boolean,,PORT1,,8,STK,,,,,,,Y,87,Y0057
Y0058,AGVS,,Boolean,,PORT1,,9,STK,,,,,,,Y,88,Y0058
Y0059,AGVS,,Boolean,,PORT1,,10,STK,,,,,,,Y,89,Y0059
Y005A,AGVS,,Boolean,,PORT1,,11,STK,,,,,,,Y,90,Y005A
Y005B,AGVS,,Boolean,,PORT1,,12,STK,,,,,,,Y,91,Y005B
Y005C,AGVS,,Boolean,,PORT1,,13,STK,,,,,,,Y,92,Y005C
Y005D,AGVS,,Boolean,,PORT1,,14,STK,,,,,,,Y,93,Y005D
Y005E,AGVS,,Boolean,,PORT1,,15,STK,,,,,,,Y,94,Y005E
Y005F,AGVS,,Boolean,,PORT1,,16,STK,,,,,,,Y,95,Y005F
