Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_NAME,,,,,,,
WW00D6,AGVS,,,,AGVS,,,TS_1,,,,,WW00,214,WW00D6
WW00D7,AGVS,,,,AGVS,,,TS_1,,,,,WW00,215,WW00D7
WW00D8,AGVS,,,,AGVS,,,TS_1,,,,,WW00,216,WW00D8
WW00D9,AGVS,,,,AGVS,,,TS_1,,,,,WW00,217,WW00D9
WW00DA,AGVS,,,,AGVS,,,TS_1,,,,,WW00,218,WW00DA
WW00DB,AGVS,,,,AGVS,,,TS_1,,,,,WW00,219,WW00DB
WW00DC,AGVS,,,,AGVS,,,TS_1,,,,,WW00,220,WW00DC
WW00DD,AGVS,,,,AGVS,,,TS_1,,,,,WW00,221,WW00DD
WW00DE,AGVS,,,,AGVS,,,TS_1,,,,,WW00,222,WW00DE
WW00DF,AGVS,,,,AGVS,,,TS_1,,,,,WW00,223,WW00DF
WW00E0,AGVS,,,,AGVS,,,TS_1,,,,,WW00,224,WW00E0
WW00E1,AGVS,,,,AGVS,,,TS_1,,,,,WW00,225,WW00E1
WW00E2,AGVS,,,,AGVS,,,TS_1,,,,,WW00,226,WW00E2
WW00E3,AGVS,,,,AGVS,,,TS_1,,,,,WW00,227,WW00E3
WW00E4,AGVS,,,,AGVS,,,TS_1,,,,,WW00,228,WW00E4
WW00E5,AGVS,,,,AGVS,,,TS_1,,,,,WW00,229,WW00E5
WW00E6,AGVS,,,,AGVS,,,TS_1,,,,,WW00,230,WW00E6
WW00E7,AGVS,,,,AGVS,,,TS_1,,,,,WW00,231,WW00E7
WW00E8,AGVS,,,,AGVS,,,TS_1,,,,,WW00,232,WW00E8
WW00E9,AGVS,,,,AGVS,,,TS_1,,,,,WW00,233,WW00E9
WW00EA,AGVS,,,,AGVS,,,TS_1,,,,,WW00,234,WW00EA
WW00EB,AGVS,,,,AGVS,,,TS_1,,,,,WW00,235,WW00EB
WW00EC,AGVS,,,,AGVS,,,TS_1,,,,,WW00,236,WW00EC
WW00ED,AGVS,,,,AGVS,,,TS_1,,,,,WW00,237,WW00ED
WW00EE,AGVS,,,,AGVS,,,TS_1,,,,,WW00,238,WW00EE
WW00EF,AGVS,,,,AGVS,,,TS_1,,,,,WW00,239,WW00EF
WW00F0,AGVS,,,,AGVS,,,TS_1,,,,,WW00,240,WW00F0
WW00F1,AGVS,,,,AGVS,,,TS_1,,,,,WW00,241,WW00F1
WW00F2,AGVS,,,,AGVS,,,TS_1,,,,,WW00,242,WW00F2
WW00F3,AGVS,,,,AGVS,,,TS_1,,,,,WW00,243,WW00F3
WW00F4,AGVS,,,,AGVS,,,TS_1,,,,,WW00,244,WW00F4
WW00F5,AGVS,,,,AGVS,,,TS_1,,,,,WW00,245,WW00F5
WW00F6,AGVS,,,,AGVS,,,TS_1,,,,,WW00,246,WW00F6
WW00F7,AGVS,,,,AGVS,,,TS_1,,,,,WW00,247,WW00F7
WW00F8,AGVS,,,,AGVS,,,TS_1,,,,,WW00,248,WW00F8
WW00F9,AGVS,,,,AGVS,,,TS_1,,,,,WW00,249,WW00F9
WW00FA,AGVS,,,,AGVS,,,TS_1,,,,,WW00,250,WW00FA
WW00FB,AGVS,,,,AGVS,,,TS_1,,,,,WW00,251,WW00FB
WW00FC,AGVS,,,,AGVS,,,TS_1,,,,,WW00,252,WW00FC
WW00FD,AGVS,,,,AGVS,,,TS_1,,,,,WW00,253,WW00FD
WW00FE,AGVS,,,,AGVS,,,TS_1,,,,,WW00,254,WW00FE
WW00FF,AGVS,,,,AGVS,,,TS_1,,,,,WW00,255,WW00FF
WW00100,AGVS,Interface Clock ,Binary,6.1 Alive Check,AGVS,Interface_Clock,55,TS_2_1,,,,,WW00,256,WW00100
WW00101,AGVS,,,,,,56,TS_2_1,,,,,WW00,257,WW00101
WW00102,AGVS,Port1 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT1,Port_Type_Status,57,TS_2_1,,,,,WW00,258,WW00102
WW00103,AGVS,Port2 - Port Mode Status Request,Binary,7.6 Port Mode Change Request,PORT2,Port_Type_Status,58,TS_2_1,,,,,WW00,259,WW00103
WW00104,AGVS,,,,,,59,TS_2_1,,,,,WW00,260,WW00104
WW00105,AGVS,,,,,,60,TS_2_1,,,,,WW00,261,WW00105
WW00106,AGVS,AGVS Message Download Index,Binary,6.4.1 AGVS Message Display,AGVS,AGVS_MSG_DOWNLOAD_INDEX,61,TS_2_1,,,,,WW00,262,WW00106
WW00107,AGVS,Trigger Equipment,Binary,6.4.1 AGVS Message Display,AGVS,,62,TS_2_1,,,,,WW00,263,WW00107
WW00108,AGVS,Buzzer Flag,Binary,6.4.1 AGVS Message Display,AGVS,,63,TS_2_1,,,,,WW00,264,WW00108
WW00109,AGVS,AGVS Message # 1,ASCII,6.4.1 AGVS Message Display,AGVS,AGVS_MSG_1,64,TS_2_1,,,,,WW00,265,WW00109
WW0010A,AGVS,AGVS Message # 2,ASCII,6.4.1 AGVS Message Display,AGVS,,65,TS_2_1,,,,,WW00,266,WW0010A
WW0010B,AGVS,AGVS Message # 3,ASCII,6.4.1 AGVS Message Display,AGVS,,66,TS_2_1,,,,,WW00,267,WW0010B
WW0010C,AGVS,AGVS Message # 4,ASCII,6.4.1 AGVS Message Display,AGVS,,67,TS_2_1,,,,,WW00,268,WW0010C
WW0010D,AGVS,AGVS Message # 5,ASCII,6.4.1 AGVS Message Display,AGVS,,68,TS_2_1,,,,,WW00,269,WW0010D
WW0010E,AGVS,AGVS Message # 6,ASCII,6.4.1 AGVS Message Display,AGVS,,69,TS_2_1,,,,,WW00,270,WW0010E
WW0010F,AGVS,AGVS Message # 7,ASCII,6.4.1 AGVS Message Display,AGVS,,70,TS_2_1,,,,,WW00,271,WW0010F
WW00110,AGVS,AGVS Message # 8,ASCII,6.4.1 AGVS Message Display,AGVS,,71,TS_2_1,,,,,WW00,272,WW00110
WW00111,AGVS,AGVS Message # 9,ASCII,6.4.1 AGVS Message Display,AGVS,,72,TS_2_1,,,,,WW00,273,WW00111
WW00112,AGVS,AGVS Message # 10,ASCII,6.4.1 AGVS Message Display,AGVS,,73,TS_2_1,,,,,WW00,274,WW00112
WW00113,AGVS,AGVS Message # 11,ASCII,6.4.1 AGVS Message Display,AGVS,,74,TS_2_1,,,,,WW00,275,WW00113
WW00114,AGVS,AGVS Message # 12,ASCII,6.4.1 AGVS Message Display,AGVS,,75,TS_2_1,,,,,WW00,276,WW00114
WW00115,AGVS,AGVS Message # 13,ASCII,6.4.1 AGVS Message Display,AGVS,,76,TS_2_1,,,,,WW00,277,WW00115
WW00116,AGVS,AGVS Message # 14,ASCII,6.4.1 AGVS Message Display,AGVS,,77,TS_2_1,,,,,WW00,278,WW00116
WW00117,AGVS,AGVS Message # 15,ASCII,6.4.1 AGVS Message Display,AGVS,,78,TS_2_1,,,,,WW00,279,WW00117
WW00118,AGVS,AGVS Message # 16,ASCII,6.4.1 AGVS Message Display,AGVS,,79,TS_2_1,,,,,WW00,280,WW00118
WW00119,AGVS,AGVS Message # 17,ASCII,6.4.1 AGVS Message Display,AGVS,AGVS_MSG_17,80,TS_2_1,,,,,WW00,281,WW00119
WW0011A,AGVS,AGVS Message # 18,ASCII,6.4.1 AGVS Message Display,AGVS,,81,TS_2_1,,,,,WW00,282,WW0011A
WW0011B,AGVS,AGVS Message # 19,ASCII,6.4.1 AGVS Message Display,AGVS,,82,TS_2_1,,,,,WW00,283,WW0011B
WW0011C,AGVS,AGVS Message # 20,ASCII,6.4.1 AGVS Message Display,AGVS,,83,TS_2_1,,,,,WW00,284,WW0011C
WW0011D,AGVS,AGVS Message # 21,ASCII,6.4.1 AGVS Message Display,AGVS,,84,TS_2_1,,,,,WW00,285,WW0011D
WW0011E,AGVS,AGVS Message # 22,ASCII,6.4.1 AGVS Message Display,AGVS,,85,TS_2_1,,,,,WW00,286,WW0011E
WW0011F,AGVS,AGVS Message # 23,ASCII,6.4.1 AGVS Message Display,AGVS,,86,TS_2_1,,,,,WW00,287,WW0011F
WW00120,AGVS,AGVS Message # 24,ASCII,6.4.1 AGVS Message Display,AGVS,,87,TS_2_1,,,,,WW00,288,WW00120
WW00121,AGVS,AGVS Message # 25,ASCII,6.4.1 AGVS Message Display,AGVS,,88,TS_2_1,,,,,WW00,289,WW00121
WW00122,AGVS,AGVS Message # 26,ASCII,6.4.1 AGVS Message Display,AGVS,,89,TS_2_1,,,,,WW00,290,WW00122
WW00123,AGVS,AGVS Message # 27,ASCII,6.4.1 AGVS Message Display,AGVS,,90,TS_2_1,,,,,WW00,291,WW00123
WW00124,AGVS,AGVS Message # 28,ASCII,6.4.1 AGVS Message Display,AGVS,,91,TS_2_1,,,,,WW00,292,WW00124
WW00125,AGVS,AGVS Message # 29,ASCII,6.4.1 AGVS Message Display,AGVS,,92,TS_2_1,,,,,WW00,293,WW00125
WW00126,AGVS,AGVS Message # 30,ASCII,6.4.1 AGVS Message Display,AGVS,,93,TS_2_1,,,,,WW00,294,WW00126
WW00127,AGVS,AGVS Message # 31,ASCII,6.4.1 AGVS Message Display,AGVS,,94,TS_2_1,,,,,WW00,295,WW00127
WW00128,AGVS,AGVS Message # 32,ASCII,6.4.1 AGVS Message Display,AGVS,,95,TS_2_1,,,,,WW00,296,WW00128
WW00129,AGVS,AGVS Message # 33,ASCII,6.4.1 AGVS Message Display,AGVS,,96,TS_2_1,,,,,WW00,297,WW00129
WW0012A,AGVS,AGVS Message # 34,ASCII,6.4.1 AGVS Message Display,AGVS,,97,TS_2_1,,,,,WW00,298,WW0012A
WW0012B,AGVS,AGVS Message # 35,ASCII,6.4.1 AGVS Message Display,AGVS,,98,TS_2_1,,,,,WW00,299,WW0012B
WW0012C,AGVS,AGVS Message # 36,ASCII,6.4.1 AGVS Message Display,AGVS,,99,TS_2_1,,,,,WW00,300,WW0012C
WW0012D,AGVS,AGVS Message # 37,ASCII,6.4.1 AGVS Message Display,AGVS,,100,TS_2_1,,,,,WW00,301,WW0012D
WW0012E,AGVS,AGVS Message # 38,ASCII,6.4.1 AGVS Message Display,AGVS,,101,TS_2_1,,,,,WW00,302,WW0012E
WW0012F,AGVS,AGVS Message # 39,ASCII,6.4.1 AGVS Message Display,AGVS,,102,TS_2_1,,,,,WW00,303,WW0012F
WW00130,AGVS,AGVS Message # 40,ASCII,6.4.1 AGVS Message Display,AGVS,,103,TS_2_1,,,,,WW00,304,WW00130
WW00131,AGVS,AGVS Message # 41,ASCII,6.4.1 AGVS Message Display,AGVS,,104,TS_2_1,,,,,WW00,305,WW00131
WW00132,AGVS,AGVS Message # 42,ASCII,6.4.1 AGVS Message Display,AGVS,,105,TS_2_1,,,,,WW00,306,WW00132
WW00133,AGVS,AGVS Message # 43,ASCII,6.4.1 AGVS Message Display,AGVS,,106,TS_2_1,,,,,WW00,307,WW00133
WW00134,AGVS,AGVS Message # 44,ASCII,6.4.1 AGVS Message Display,AGVS,,107,TS_2_1,,,,,WW00,308,WW00134
WW00135,AGVS,AGVS Message # 45,ASCII,6.4.1 AGVS Message Display,AGVS,,108,TS_2_1,,,,,WW00,309,WW00135
WW00136,AGVS,AGVS Message # 46,ASCII,6.4.1 AGVS Message Display,AGVS,,109,TS_2_1,,,,,WW00,310,WW00136
WW00137,AGVS,AGVS Message # 47,ASCII,6.4.1 AGVS Message Display,AGVS,,110,TS_2_1,,,,,WW00,311,WW00137
WW00138,AGVS,AGVS Message # 48,ASCII,6.4.1 AGVS Message Display,AGVS,,111,TS_2_1,,,,,WW00,312,WW00138
WW00139,AGVS,AGVS Message # 49,ASCII,6.4.1 AGVS Message Display,AGVS,,112,TS_2_1,,,,,WW00,313,WW00139
WW0013A,AGVS,AGVS Message # 50,ASCII,6.4.1 AGVS Message Display,AGVS,,113,TS_2_1,,,,,WW00,314,WW0013A
WW0013B,AGVS,AGVS Message # 51,ASCII,6.4.1 AGVS Message Display,AGVS,,114,TS_2_1,,,,,WW00,315,WW0013B
WW0013C,AGVS,AGVS Message # 52,ASCII,6.4.1 AGVS Message Display,AGVS,,115,TS_2_1,,,,,WW00,316,WW0013C
WW0013D,AGVS,AGVS Message # 53,ASCII,6.4.1 AGVS Message Display,AGVS,,116,TS_2_1,,,,,WW00,317,WW0013D
WW0013E,AGVS,AGVS Message # 54,ASCII,6.4.1 AGVS Message Display,AGVS,,117,TS_2_1,,,,,WW00,318,WW0013E
WW0013F,AGVS,AGVS Message # 55,ASCII,6.4.1 AGVS Message Display,AGVS,,118,TS_2_1,,,,,WW00,319,WW0013F
WW00140,AGVS,AGVS Message # 56,ASCII,6.4.1 AGVS Message Display,AGVS,,119,TS_2_1,,,,,WW00,320,WW00140
WW00141,AGVS,AGVS Message # 57,ASCII,6.4.1 AGVS Message Display,AGVS,,120,TS_2_1,,,,,WW00,321,WW00141
WW00142,AGVS,AGVS Message # 58,ASCII,6.4.1 AGVS Message Display,AGVS,,121,TS_2_1,,,,,WW00,322,WW00142
WW00143,AGVS,AGVS Message # 59,ASCII,6.4.1 AGVS Message Display,AGVS,,122,TS_2_1,,,,,WW00,323,WW00143
WW00144,AGVS,AGVS Message # 60,ASCII,6.4.1 AGVS Message Display,AGVS,,123,TS_2_1,,,,,WW00,324,WW00144
WW00145,AGVS,AGVS Message # 61,ASCII,6.4.1 AGVS Message Display,AGVS,,124,TS_2_1,,,,,WW00,325,WW00145
WW00146,AGVS,AGVS Message # 62,ASCII,6.4.1 AGVS Message Display,AGVS,,125,TS_2_1,,,,,WW00,326,WW00146
WW00147,AGVS,AGVS Message # 63,ASCII,6.4.1 AGVS Message Display,AGVS,,126,TS_2_1,,,,,WW00,327,WW00147
WW00148,AGVS,AGVS Message # 64,ASCII,6.4.1 AGVS Message Display,AGVS,,127,TS_2_1,,,,,WW00,328,WW00148
WW00149,AGVS,AGVS Message # 65,ASCII,6.4.1 AGVS Message Display,AGVS,,128,TS_2_1,,,,,WW00,329,WW00149
WW0014A,AGVS,AGVS Message # 66,ASCII,6.4.1 AGVS Message Display,AGVS,,129,TS_2_1,,,,,WW00,330,WW0014A
WW0014B,AGVS,AGVS Message # 67,ASCII,6.4.1 AGVS Message Display,AGVS,,130,TS_2_1,,,,,WW00,331,WW0014B
WW0014C,AGVS,AGVS Message # 68,ASCII,6.4.1 AGVS Message Display,AGVS,,131,TS_2_1,,,,,WW00,332,WW0014C
WW0014D,AGVS,AGVS Message # 69,ASCII,6.4.1 AGVS Message Display,AGVS,,132,TS_2_1,,,,,WW00,333,WW0014D
WW0014E,AGVS,AGVS Message # 70,ASCII,6.4.1 AGVS Message Display,AGVS,,133,TS_2_1,,,,,WW00,334,WW0014E
WW0014F,AGVS,AGVS Message # 71,ASCII,6.4.1 AGVS Message Display,AGVS,,134,TS_2_1,,,,,WW00,335,WW0014F
WW00150,AGVS,AGVS Message # 72,ASCII,6.4.1 AGVS Message Display,AGVS,,135,TS_2_1,,,,,WW00,336,WW00150
WW00151,AGVS,AGVS Message # 73,ASCII,6.4.1 AGVS Message Display,AGVS,,136,TS_2_1,,,,,WW00,337,WW00151
WW00152,AGVS,AGVS Message # 74,ASCII,6.4.1 AGVS Message Display,AGVS,,137,TS_2_1,,,,,WW00,338,WW00152
WW00153,AGVS,AGVS Message # 75,ASCII,6.4.1 AGVS Message Display,AGVS,,138,TS_2_1,,,,,WW00,339,WW00153
WW00154,AGVS,AGVS Message # 76,ASCII,6.4.1 AGVS Message Display,AGVS,,139,TS_2_1,,,,,WW00,340,WW00154
WW00155,AGVS,AGVS Message # 77,ASCII,6.4.1 AGVS Message Display,AGVS,,140,TS_2_1,,,,,WW00,341,WW00155
WW00156,AGVS,AGVS Message # 78,ASCII,6.4.1 AGVS Message Display,AGVS,,141,TS_2_1,,,,,WW00,342,WW00156
WW00157,AGVS,AGVS Message # 79,ASCII,6.4.1 AGVS Message Display,AGVS,,142,TS_2_1,,,,,WW00,343,WW00157
WW00158,AGVS,AGVS Message # 80,ASCII,6.4.1 AGVS Message Display,AGVS,,143,TS_2_1,,,,,WW00,344,WW00158
WW00159,AGVS,,,,AGVS,,144,TS_2_1,,,,,WW00,345,WW00159
WW0015A,AGVS,MCS Message Download Index,Binary,6.4.2 MCS Message Display,AGVS,,145,TS_2_1,,,,,WW00,346,WW0015A
WW0015B,AGVS,MCS Message # 1,ASCII,6.4.2 MCS Message Display,AGVS,,146,TS_2_1,,,,,WW00,347,WW0015B
WW0015C,AGVS,MCS Message # 2,ASCII,6.4.2 MCS Message Display,AGVS,,147,TS_2_1,,,,,WW00,348,WW0015C
WW0015D,AGVS,MCS Message # 3,ASCII,6.4.2 MCS Message Display,AGVS,,148,TS_2_1,,,,,WW00,349,WW0015D
WW0015E,AGVS,MCS Message # 4,ASCII,6.4.2 MCS Message Display,AGVS,,149,TS_2_1,,,,,WW00,350,WW0015E
WW0015F,AGVS,MCS Message # 5,ASCII,6.4.2 MCS Message Display,AGVS,,150,TS_2_1,,,,,WW00,351,WW0015F
WW00160,AGVS,MCS Message # 6,ASCII,6.4.2 MCS Message Display,AGVS,,151,TS_2_1,,,,,WW00,352,WW00160
WW00161,AGVS,MCS Message # 7,ASCII,6.4.2 MCS Message Display,AGVS,,152,TS_2_1,,,,,WW00,353,WW00161
WW00162,AGVS,MCS Message # 8,ASCII,6.4.2 MCS Message Display,AGVS,,153,TS_2_1,,,,,WW00,354,WW00162
WW00163,AGVS,MCS Message # 9,ASCII,6.4.2 MCS Message Display,AGVS,,154,TS_2_1,,,,,WW00,355,WW00163
WW00164,AGVS,MCS Message # 10,ASCII,6.4.2 MCS Message Display,AGVS,,155,TS_2_1,,,,,WW00,356,WW00164
WW00165,AGVS,MCS Message # 11,ASCII,6.4.2 MCS Message Display,AGVS,,156,TS_2_1,,,,,WW00,357,WW00165
WW00166,AGVS,MCS Message # 12,ASCII,6.4.2 MCS Message Display,AGVS,,157,TS_2_1,,,,,WW00,358,WW00166
WW00167,AGVS,MCS Message # 13,ASCII,6.4.2 MCS Message Display,AGVS,,158,TS_2_1,,,,,WW00,359,WW00167
WW00168,AGVS,MCS Message # 14,ASCII,6.4.2 MCS Message Display,AGVS,,159,TS_2_1,,,,,WW00,360,WW00168
WW00169,AGVS,MCS Message # 15,ASCII,6.4.2 MCS Message Display,AGVS,,160,TS_2_1,,,,,WW00,361,WW00169
WW0016A,AGVS,MCS Message # 16,ASCII,6.4.2 MCS Message Display,AGVS,,161,TS_2_1,,,,,WW00,362,WW0016A
WW0016B,AGVS,MCS Message # 17,ASCII,6.4.2 MCS Message Display,AGVS,,162,TS_2_1,,,,,WW00,363,WW0016B
WW0016C,AGVS,MCS Message # 18,ASCII,6.4.2 MCS Message Display,AGVS,,163,TS_2_1,,,,,WW00,364,WW0016C
WW0016D,AGVS,MCS Message # 19,ASCII,6.4.2 MCS Message Display,AGVS,,164,TS_2_1,,,,,WW00,365,WW0016D
WW0016E,AGVS,MCS Message # 20,ASCII,6.4.2 MCS Message Display,AGVS,,165,TS_2_1,,,,,WW00,366,WW0016E
WW0016F,AGVS,MCS Message # 21,ASCII,6.4.2 MCS Message Display,AGVS,,166,TS_2_1,,,,,WW00,367,WW0016F
WW00170,AGVS,MCS Message # 22,ASCII,6.4.2 MCS Message Display,AGVS,,167,TS_2_1,,,,,WW00,368,WW00170
WW00171,AGVS,MCS Message # 23,ASCII,6.4.2 MCS Message Display,AGVS,,168,TS_2_1,,,,,WW00,369,WW00171
WW00172,AGVS,MCS Message # 24,ASCII,6.4.2 MCS Message Display,AGVS,,169,TS_2_1,,,,,WW00,370,WW00172
WW00173,AGVS,MCS Message # 25,ASCII,6.4.2 MCS Message Display,AGVS,,170,TS_2_1,,,,,WW00,371,WW00173
WW00174,AGVS,MCS Message # 26,ASCII,6.4.2 MCS Message Display,AGVS,,171,TS_2_1,,,,,WW00,372,WW00174
WW00175,AGVS,MCS Message # 27,ASCII,6.4.2 MCS Message Display,AGVS,,172,TS_2_1,,,,,WW00,373,WW00175
WW00176,AGVS,MCS Message # 28,ASCII,6.4.2 MCS Message Display,AGVS,,173,TS_2_1,,,,,WW00,374,WW00176
WW00177,AGVS,MCS Message # 29,ASCII,6.4.2 MCS Message Display,AGVS,,174,TS_2_1,,,,,WW00,375,WW00177
WW00178,AGVS,MCS Message # 30,ASCII,6.4.2 MCS Message Display,AGVS,,175,TS_2_1,,,,,WW00,376,WW00178
WW00179,AGVS,MCS Message # 31,ASCII,6.4.2 MCS Message Display,AGVS,,176,TS_2_1,,,,,WW00,377,WW00179
WW0017A,AGVS,MCS Message # 32,ASCII,6.4.2 MCS Message Display,AGVS,,177,TS_2_1,,,,,WW00,378,WW0017A
WW0017B,AGVS,MCS Message # 33,ASCII,6.4.2 MCS Message Display,AGVS,,178,TS_2_1,,,,,WW00,379,WW0017B
WW0017C,AGVS,MCS Message # 34,ASCII,6.4.2 MCS Message Display,AGVS,,179,TS_2_1,,,,,WW00,380,WW0017C
WW0017D,AGVS,MCS Message # 35,ASCII,6.4.2 MCS Message Display,AGVS,,180,TS_2_1,,,,,WW00,381,WW0017D
WW0017E,AGVS,MCS Message # 36,ASCII,6.4.2 MCS Message Display,AGVS,,181,TS_2_1,,,,,WW00,382,WW0017E
WW0017F,AGVS,MCS Message # 37,ASCII,6.4.2 MCS Message Display,AGVS,,182,TS_2_1,,,,,WW00,383,WW0017F
WW00180,AGVS,MCS Message # 38,ASCII,6.4.2 MCS Message Display,AGVS,,183,TS_2_1,,,,,WW00,384,WW00180
WW00181,AGVS,MCS Message # 39,ASCII,6.4.2 MCS Message Display,AGVS,,184,TS_2_1,,,,,WW00,385,WW00181
WW00182,AGVS,MCS Message # 40,ASCII,6.4.2 MCS Message Display,AGVS,,185,TS_2_1,,,,,WW00,386,WW00182
WW00183,AGVS,MCS Message # 41,ASCII,6.4.2 MCS Message Display,AGVS,,186,TS_2_1,,,,,WW00,387,WW00183
WW00184,AGVS,MCS Message # 42,ASCII,6.4.2 MCS Message Display,AGVS,,187,TS_2_1,,,,,WW00,388,WW00184
WW00185,AGVS,MCS Message # 43,ASCII,6.4.2 MCS Message Display,AGVS,,188,TS_2_1,,,,,WW00,389,WW00185
WW00186,AGVS,MCS Message # 44,ASCII,6.4.2 MCS Message Display,AGVS,,189,TS_2_1,,,,,WW00,390,WW00186
WW00187,AGVS,MCS Message # 45,ASCII,6.4.2 MCS Message Display,AGVS,,190,TS_2_1,,,,,WW00,391,WW00187
WW00188,AGVS,MCS Message # 46,ASCII,6.4.2 MCS Message Display,AGVS,,191,TS_2_1,,,,,WW00,392,WW00188
WW00189,AGVS,MCS Message # 47,ASCII,6.4.2 MCS Message Display,AGVS,,192,TS_2_1,,,,,WW00,393,WW00189
WW0018A,AGVS,MCS Message # 48,ASCII,6.4.2 MCS Message Display,AGVS,,193,TS_2_1,,,,,WW00,394,WW0018A
WW0018B,AGVS,MCS Message # 49,ASCII,6.4.2 MCS Message Display,AGVS,,194,TS_2_1,,,,,WW00,395,WW0018B
WW0018C,AGVS,MCS Message # 50,ASCII,6.4.2 MCS Message Display,AGVS,,195,TS_2_1,,,,,WW00,396,WW0018C
WW0018D,AGVS,MCS Message # 51,ASCII,6.4.2 MCS Message Display,AGVS,,196,TS_2_1,,,,,WW00,397,WW0018D
WW0018E,AGVS,MCS Message # 52,ASCII,6.4.2 MCS Message Display,AGVS,,197,TS_2_1,,,,,WW00,398,WW0018E
WW0018F,AGVS,MCS Message # 53,ASCII,6.4.2 MCS Message Display,AGVS,,198,TS_2_1,,,,,WW00,399,WW0018F
WW00190,AGVS,MCS Message # 54,ASCII,6.4.2 MCS Message Display,AGVS,,199,TS_2_1,,,,,WW00,400,WW00190
WW00191,AGVS,MCS Message # 55,ASCII,6.4.2 MCS Message Display,AGVS,,200,TS_2_1,,,,,WW00,401,WW00191
WW00192,AGVS,MCS Message # 56,ASCII,6.4.2 MCS Message Display,AGVS,,201,TS_2_1,,,,,WW00,402,WW00192
WW00193,AGVS,MCS Message # 57,ASCII,6.4.2 MCS Message Display,AGVS,,202,TS_2_1,,,,,WW00,403,WW00193
WW00194,AGVS,MCS Message # 58,ASCII,6.4.2 MCS Message Display,AGVS,,203,TS_2_1,,,,,WW00,404,WW00194
WW00195,AGVS,MCS Message # 59,ASCII,6.4.2 MCS Message Display,AGVS,,204,TS_2_1,,,,,WW00,405,WW00195
WW00196,AGVS,MCS Message # 60,ASCII,6.4.2 MCS Message Display,AGVS,,205,TS_2_1,,,,,WW00,406,WW00196
WW00197,AGVS,MCS Message # 61,ASCII,6.4.2 MCS Message Display,AGVS,,206,TS_2_1,,,,,WW00,407,WW00197
WW00198,AGVS,MCS Message # 62,ASCII,6.4.2 MCS Message Display,AGVS,,207,TS_2_1,,,,,WW00,408,WW00198
WW00199,AGVS,MCS Message # 63,ASCII,6.4.2 MCS Message Display,AGVS,,208,TS_2_1,,,,,WW00,409,WW00199
WW0019A,AGVS,MCS Message # 64,ASCII,6.4.2 MCS Message Display,AGVS,,209,TS_2_1,,,,,WW00,410,WW0019A
WW0019B,AGVS,MCS Message # 65,ASCII,6.4.2 MCS Message Display,AGVS,,210,TS_2_1,,,,,WW00,411,WW0019B
WW0019C,AGVS,MCS Message # 66,ASCII,6.4.2 MCS Message Display,AGVS,,211,TS_2_1,,,,,WW00,412,WW0019C
WW0019D,AGVS,MCS Message # 67,ASCII,6.4.2 MCS Message Display,AGVS,,212,TS_2_1,,,,,WW00,413,WW0019D
WW0019E,AGVS,MCS Message # 68,ASCII,6.4.2 MCS Message Display,AGVS,,213,TS_2_1,,,,,WW00,414,WW0019E
WW0019F,AGVS,MCS Message # 69,ASCII,6.4.2 MCS Message Display,AGVS,,214,TS_2_1,,,,,WW00,415,WW0019F
WW001A0,AGVS,MCS Message # 70,ASCII,6.4.2 MCS Message Display,AGVS,,215,TS_2_1,,,,,WW00,416,WW001A0
WW001A1,AGVS,MCS Message # 71,ASCII,6.4.2 MCS Message Display,AGVS,,216,TS_2_1,,,,,WW00,417,WW001A1
WW001A2,AGVS,MCS Message # 72,ASCII,6.4.2 MCS Message Display,AGVS,,217,TS_2_1,,,,,WW00,418,WW001A2
WW001A3,AGVS,MCS Message # 73,ASCII,6.4.2 MCS Message Display,AGVS,,218,TS_2_1,,,,,WW00,419,WW001A3
WW001A4,AGVS,MCS Message # 74,ASCII,6.4.2 MCS Message Display,AGVS,,219,TS_2_1,,,,,WW00,420,WW001A4
WW001A5,AGVS,MCS Message # 75,ASCII,6.4.2 MCS Message Display,AGVS,,220,TS_2_1,,,,,WW00,421,WW001A5
WW001A6,AGVS,MCS Message # 76,ASCII,6.4.2 MCS Message Display,AGVS,,221,TS_2_1,,,,,WW00,422,WW001A6
WW001A7,AGVS,MCS Message # 77,ASCII,6.4.2 MCS Message Display,AGVS,,222,TS_2_1,,,,,WW00,423,WW001A7
WW001A8,AGVS,MCS Message # 78,ASCII,6.4.2 MCS Message Display,AGVS,,223,TS_2_1,,,,,WW00,424,WW001A8
WW001A9,AGVS,MCS Message # 79,ASCII,6.4.2 MCS Message Display,AGVS,,224,TS_2_1,,,,,WW00,425,WW001A9
WW001AA,AGVS,MCS Message # 80,ASCII,6.4.2 MCS Message Display,AGVS,,225,TS_2_1,,,,,WW00,426,WW001AA
WW001AB,AGVS,MCS Message # 81,ASCII,6.4.2 MCS Message Display,AGVS,,226,TS_2_1,,,,,WW00,427,WW001AB
WW001AC,AGVS,MCS Message # 82,ASCII,6.4.2 MCS Message Display,AGVS,,227,TS_2_1,,,,,WW00,428,WW001AC
WW001AD,AGVS,MCS Message # 83,ASCII,6.4.2 MCS Message Display,AGVS,,228,TS_2_1,,,,,WW00,429,WW001AD
WW001AE,AGVS,MCS Message # 84,ASCII,6.4.2 MCS Message Display,AGVS,,229,TS_2_1,,,,,WW00,430,WW001AE
