MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,MemoY Type _ 1,MemoY Address,
Y010E,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,,TS_1,,,,,,,Y,270,Y10E
Y010F,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,,TS_1,,,,,,,Y,271,Y10F
Y0110,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,272,Y110
Y0111,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT1,Carrier_WaitIn_System_Reply,,TS_1,,,,,,,Y,273,Y111
Y0112,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT1,Carrier_WaitIn_System_Accept,,TS_1,,,,,,,Y,274,Y112
Y0113,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,,TS_1,,,,,,,Y,275,Y113
Y0114,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,,TS_1,,,,,,,Y,276,Y114
Y0115,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,,TS_1,,,,,,,Y,277,Y115
Y0116,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,,TS_1,,,,,,,Y,278,Y116
Y0117,AGVS,To_EQ_Up,Boolean,,PORT1,To_EQ_Up,24,TS_1,,,,,,,Y,279,Y117
Y0118,AGVS,To_EQ_Low,Boolean,,PORT1,To_EQ_Low,25,TS_1,,,,,,,Y,280,Y118
Y0119,AGVS,CMD_reserve_Up,Boolean,,PORT1,CMD_reserve_Up,26,TS_1,,,,,,,Y,281,Y119
Y011A,AGVS,CMD_reserve_Low,Boolean,,PORT1,CMD_reserve_Low,27,TS_1,,,,,,,Y,282,Y11A
Y011B,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,283,Y11B
Y011C,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,284,Y11C
Y011D,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,285,Y11D
Y011E,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,286,Y11E
Y011F,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,287,Y11F
Y0120,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,288,Y120
Y0121,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,289,Y121
Y0122,AGVS,Port_Mode_Change_Request,Boolean,,PORT2,Port_Mode_Change_Request,,TS_1,,,,,,,Y,290,Y122
Y0123,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT2,Port_Mode_Changed_Report_Reply,,TS_1,,,,,,,Y,291,Y123
Y0124,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT2,Port_Disabled_Report_Reply,,TS_1,,,,,,,Y,292,Y124
Y0125,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT2,Port_Enbled_Report_Reply,,TS_1,,,,,,,Y,293,Y125
Y0126,AGVS,,Boolean,,PORT2,,,TS_1,,,,,,,Y,294,Y126
Y0127,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT2,Carrier_WaitIn_System_Reply,,TS_1,,,,,,,Y,295,Y127
Y0128,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT2,Carrier_WaitIn_System_Accept,,TS_1,,,,,,,Y,296,Y128
Y0129,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT2,Carrier_WaitIn_System_Refuse,,TS_1,,,,,,,Y,297,Y129
Y012A,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT2,Carrier_WaitOut_System_Reply,,TS_1,,,,,,,Y,298,Y12A
Y012B,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT2,Carrier_Removed_Completed_Report_Reply,,TS_1,,,,,,,Y,299,Y12B
Y012C,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT2,Carrier_Force_In_System_Reply,,TS_1,,,,,,,Y,300,Y12C
Y012D,AGVS,To_EQ_Up,Boolean,,PORT2,To_EQ_Up,24,TS_1,,,,,,,Y,301,Y12D
Y012E,AGVS,To_EQ_Low,Boolean,,PORT2,To_EQ_Low,25,TS_1,,,,,,,Y,302,Y12E
Y012F,AGVS,CMD_reserve_Up,Boolean,,PORT2,CMD_reserve_Up,26,TS_1,,,,,,,Y,303,Y12F
Y0130,AGVS,CMD_reserve_Low,Boolean,,PORT2,CMD_reserve_Low,27,TS_1,,,,,,,Y,304,Y130
Y0131,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,305,Y131
Y0132,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,306,Y132
Y0133,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,307,Y133
Y0134,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,308,Y134
Y0135,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,309,Y135
Y0136,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,310,Y136
Y0137,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,311,Y137
Y0138,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,312,Y138
Y0139,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,313,Y139
Y013A,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,314,Y13A
Y013B,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,315,Y13B
Y013C,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,316,Y13C
Y013D,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,317,Y13D
Y013E,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,318,Y13E
Y013F,AGVS,,Boolean,,PORT1,,,TS_1,,,,,,,Y,319,Y13F
Y0140,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,320,Y140
Y0141,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,321,Y141
Y0142,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,322,Y142
Y0143,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,323,Y143
Y0144,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,324,Y144
Y0145,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,325,Y145
Y0146,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,326,Y146
Y0147,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,327,Y147
Y0148,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,328,Y148
Y0149,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,329,Y149
Y014A,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,330,Y14A
Y014B,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,331,Y14B
Y014C,AGVS,Port_Mode_Change_Request,Boolean,,PORT1,Port_Mode_Change_Request,,TS_2_1,,,,,,,Y,332,Y14C
Y014D,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,,TS_2_1,,,,,,,Y,333,Y14D
Y014E,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,,TS_2_1,,,,,,,Y,334,Y14E
Y014F,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,,TS_2_1,,,,,,,Y,335,Y14F
Y0150,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,336,Y150
Y0151,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT1,Carrier_WaitIn_System_Reply,,TS_2_1,,,,,,,Y,337,Y151
Y0152,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT1,Carrier_WaitIn_System_Accept,,TS_2_1,,,,,,,Y,338,Y152
Y0153,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,,TS_2_1,,,,,,,Y,339,Y153
Y0154,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,,TS_2_1,,,,,,,Y,340,Y154
Y0155,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,,TS_2_1,,,,,,,Y,341,Y155
Y0156,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,,TS_2_1,,,,,,,Y,342,Y156
Y0157,AGVS,To_EQ_Up,Boolean,,PORT1,To_EQ_Up,24,TS_2_1,,,,,,,Y,343,Y157
Y0158,AGVS,To_EQ_Low,Boolean,,PORT1,To_EQ_Low,25,TS_2_1,,,,,,,Y,344,Y158
Y0159,AGVS,CMD_reserve_Up,Boolean,,PORT1,CMD_reserve_Up,26,TS_2_1,,,,,,,Y,345,Y159
Y015A,AGVS,CMD_reserve_Low,Boolean,,PORT1,CMD_reserve_Low,27,TS_2_1,,,,,,,Y,346,Y15A
Y015B,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,347,Y15B
Y015C,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,348,Y15C
Y015D,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,349,Y15D
Y015E,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,350,Y15E
Y015F,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,351,Y15F
Y0160,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,352,Y160
Y0161,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,353,Y161
Y0162,AGVS,Port_Mode_Change_Request,Boolean,,PORT2,Port_Mode_Change_Request,,TS_2_1,,,,,,,Y,354,Y162
Y0163,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT2,Port_Mode_Changed_Report_Reply,,TS_2_1,,,,,,,Y,355,Y163
Y0164,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT2,Port_Disabled_Report_Reply,,TS_2_1,,,,,,,Y,356,Y164
Y0165,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT2,Port_Enbled_Report_Reply,,TS_2_1,,,,,,,Y,357,Y165
Y0166,AGVS,,Boolean,,PORT2,,,TS_2_1,,,,,,,Y,358,Y166
Y0167,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT2,Carrier_WaitIn_System_Reply,,TS_2_1,,,,,,,Y,359,Y167
Y0168,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT2,Carrier_WaitIn_System_Accept,,TS_2_1,,,,,,,Y,360,Y168
Y0169,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT2,Carrier_WaitIn_System_Refuse,,TS_2_1,,,,,,,Y,361,Y169
Y016A,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT2,Carrier_WaitOut_System_Reply,,TS_2_1,,,,,,,Y,362,Y16A
Y016B,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT2,Carrier_Removed_Completed_Report_Reply,,TS_2_1,,,,,,,Y,363,Y16B
Y016C,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT2,Carrier_Force_In_System_Reply,,TS_2_1,,,,,,,Y,364,Y16C
Y016D,AGVS,To_EQ_Up,Boolean,,PORT2,To_EQ_Up,24,TS_2_1,,,,,,,Y,365,Y16D
Y016E,AGVS,To_EQ_Low,Boolean,,PORT2,To_EQ_Low,25,TS_2_1,,,,,,,Y,366,Y16E
Y016F,AGVS,CMD_reserve_Up,Boolean,,PORT2,CMD_reserve_Up,26,TS_2_1,,,,,,,Y,367,Y16F
Y0170,AGVS,CMD_reserve_Low,Boolean,,PORT2,CMD_reserve_Low,27,TS_2_1,,,,,,,Y,368,Y170
Y0171,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,369,Y171
Y0172,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,370,Y172
Y0173,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,371,Y173
Y0174,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,372,Y174
Y0175,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,373,Y175
Y0176,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,374,Y176
Y0177,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,375,Y177
Y0178,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,376,Y178
Y0179,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,377,Y179
Y017A,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,378,Y17A
Y017B,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,379,Y17B
Y017C,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,380,Y17C
Y017D,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,381,Y17D
Y017E,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,382,Y17E
Y017F,AGVS,,Boolean,,PORT1,,,TS_2_1,,,,,,,Y,383,Y17F
Y0180,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,384,Y180
Y0181,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,385,Y181
Y0182,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,386,Y182
Y0183,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,387,Y183
Y0184,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,388,Y184
Y0185,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,389,Y185
Y0186,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,390,Y186
Y0187,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,391,Y187
Y0188,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,392,Y188
Y0189,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,393,Y189
Y018A,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,394,Y18A
Y018B,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,395,Y18B
Y018C,AGVS,Port_Mode_Change_Request,Boolean,,PORT1,Port_Mode_Change_Request,,TS_2_2,,,,,,,Y,396,Y18C
Y018D,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,,TS_2_2,,,,,,,Y,397,Y18D
Y018E,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,,TS_2_2,,,,,,,Y,398,Y18E
Y018F,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,,TS_2_2,,,,,,,Y,399,Y18F
Y0190,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,400,Y190
Y0191,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT1,Carrier_WaitIn_System_Reply,,TS_2_2,,,,,,,Y,401,Y191
Y0192,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT1,Carrier_WaitIn_System_Accept,,TS_2_2,,,,,,,Y,402,Y192
Y0193,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,,TS_2_2,,,,,,,Y,403,Y193
Y0194,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,,TS_2_2,,,,,,,Y,404,Y194
Y0195,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,,TS_2_2,,,,,,,Y,405,Y195
Y0196,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,,TS_2_2,,,,,,,Y,406,Y196
Y0197,AGVS,To_EQ_Up,Boolean,,PORT1,To_EQ_Up,24,TS_2_2,,,,,,,Y,407,Y197
Y0198,AGVS,To_EQ_Low,Boolean,,PORT1,To_EQ_Low,25,TS_2_2,,,,,,,Y,408,Y198
Y0199,AGVS,CMD_reserve_Up,Boolean,,PORT1,CMD_reserve_Up,26,TS_2_2,,,,,,,Y,409,Y199
Y019A,AGVS,CMD_reserve_Low,Boolean,,PORT1,CMD_reserve_Low,27,TS_2_2,,,,,,,Y,410,Y19A
Y019B,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,411,Y19B
Y019C,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,412,Y19C
Y019D,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,413,Y19D
Y019E,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,414,Y19E
Y019F,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,415,Y19F
Y1A0,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,416,Y1A0
Y1A1,AGVS,,Boolean,,PORT1,,,TS_2_2,,,,,,,Y,417,Y1A1
Y1A2,AGVS,Port_Mode_Change_Request,Boolean,,PORT2,Port_Mode_Change_Request,,TS_2_2,,,,,,,Y,418,Y1A2
Y1A3,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT2,Port_Mode_Changed_Report_Reply,,TS_2_2,,,,,,,Y,419,Y1A3
Y1A4,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT2,Port_Disabled_Report_Reply,,TS_2_2,,,,,,,Y,420,Y1A4
Y1A5,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT2,Port_Enbled_Report_Reply,,TS_2_2,,,,,,,Y,421,Y1A5
Y1A6,AGVS,,Boolean,,PORT2,,,TS_2_2,,,,,,,Y,422,Y1A6
Y1A7,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT2,Carrier_WaitIn_System_Reply,,TS_2_2,,,,,,,Y,423,Y1A7
Y1A8,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT2,Carrier_WaitIn_System_Accept,,TS_2_2,,,,,,,Y,424,Y1A8
Y1A9,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT2,Carrier_WaitIn_System_Refuse,,TS_2_2,,,,,,,Y,425,Y1A9
Y1AA,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT2,Carrier_WaitOut_System_Reply,,TS_2_2,,,,,,,Y,426,Y1AA
Y1AB,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT2,Carrier_Removed_Completed_Report_Reply,,TS_2_2,,,,,,,Y,427,Y1AB
Y1AC,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT2,Carrier_Force_In_System_Reply,,TS_2_2,,,,,,,Y,428,Y1AC
Y1AD,AGVS,To_EQ_Up,Boolean,,PORT2,To_EQ_Up,24,TS_2_2,,,,,,,Y,429,Y1AD
Y1AE,AGVS,To_EQ_Low,Boolean,,PORT2,To_EQ_Low,25,TS_2_2,,,,,,,Y,430,Y1AE
Y1AF,AGVS,CMD_reserve_Up,Boolean,,PORT2,CMD_reserve_Up,26,TS_2_2,,,,,,,Y,431,Y1AF
Y1B0,AGVS,CMD_reserve_Low,Boolean,,PORT2,CMD_reserve_Low,27,TS_2_2,,,,,,,Y,432,Y1B0
Y1B1,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,433,Y1B1
Y1B2,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,434,Y1B2
Y1B3,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,435,Y1B3
Y1B4,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,436,Y1B4
Y1B5,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,437,Y1B5
Y1B6,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,438,Y1B6
Y1B7,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,439,Y1B7
Y1B8,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,440,Y1B8
Y1B9,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,441,Y1B9
Y1BA,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,442,Y1BA
Y1BB,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,443,Y1BB
Y1BC,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,444,Y1BC
Y1BD,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,445,Y1BD
Y1BE,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,446,Y1BE
Y1BF,AGVS,,Boolean,,,,,TS_2_2,,,,,,,Y,447,Y1BF
Y1C0,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,448,Y1C0
Y1C1,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,449,Y1C1
Y1C2,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,450,Y1C2
Y1C3,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,451,Y1C3
Y1C4,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,452,Y1C4
Y1C5,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,453,Y1C5
Y1C6,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,454,Y1C6
Y1C7,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,455,Y1C7
Y1C8,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,456,Y1C8
Y1C9,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,457,Y1C9
Y1CA,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,458,Y1CA
Y1CB,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,459,Y1CB
Y1CC,AGVS,Port_Mode_Change_Request,Boolean,,PORT1,Port_Mode_Change_Request,,TS_3,,,,,,,Y,460,Y1CC
Y1CD,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT1,Port_Mode_Changed_Report_Reply,,TS_3,,,,,,,Y,461,Y1CD
Y1CE,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT1,Port_Disabled_Report_Reply,,TS_3,,,,,,,Y,462,Y1CE
Y1CF,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT1,Port_Enbled_Report_Reply,,TS_3,,,,,,,Y,463,Y1CF
Y1D0,AGVS,,Boolean,,PORT1,,,TS_3,,,,,,,Y,464,Y1D0
Y1D1,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT1,Carrier_WaitIn_System_Reply,,TS_3,,,,,,,Y,465,Y1D1
Y1D2,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT1,Carrier_WaitIn_System_Accept,,TS_3,,,,,,,Y,466,Y1D2
Y1D3,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT1,Carrier_WaitIn_System_Refuse,,TS_3,,,,,,,Y,467,Y1D3
Y1D4,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT1,Carrier_WaitOut_System_Reply,,TS_3,,,,,,,Y,468,Y1D4
Y1D5,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT1,Carrier_Removed_Completed_Report_Reply,,TS_3,,,,,,,Y,469,Y1D5
Y1D6,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT1,Carrier_Force_In_System_Reply,,TS_3,,,,,,,Y,470,Y1D6
Y1D7,AGVS,To_EQ_Up,Boolean,,PORT1,To_EQ_Up,24,TS_3,,,,,,,Y,471,Y1D7
Y1D8,AGVS,To_EQ_Low,Boolean,,PORT1,To_EQ_Low,25,TS_3,,,,,,,Y,472,Y1D8
Y1D9,AGVS,CMD_reserve_Up,Boolean,,PORT1,CMD_reserve_Up,26,TS_3,,,,,,,Y,473,Y1D9
Y1DA,AGVS,CMD_reserve_Low,Boolean,,PORT1,CMD_reserve_Low,27,TS_3,,,,,,,Y,474,Y1DA
Y1DB,AGVS,,Boolean,,PORT1,,,TS_3,,,,,,,Y,475,Y1DB
Y1DC,AGVS,,Boolean,,PORT1,,,TS_3,,,,,,,Y,476,Y1DC
Y1DD,AGVS,,Boolean,,PORT1,,,TS_3,,,,,,,Y,477,Y1DD
Y1DE,AGVS,,Boolean,,PORT1,,,TS_3,,,,,,,Y,478,Y1DE
Y1DF,AGVS,,Boolean,,PORT1,,,TS_3,,,,,,,Y,479,Y1DF
Y1E0,AGVS,,Boolean,,PORT1,,,TS_3,,,,,,,Y,480,Y1E0
Y1E1,AGVS,,Boolean,,PORT1,,,TS_3,,,,,,,Y,481,Y1E1
Y1E2,AGVS,Port_Mode_Change_Request,Boolean,,PORT2,Port_Mode_Change_Request,,TS_3,,,,,,,Y,482,Y1E2
Y1E3,AGVS,Port_Mode_Changed_Report_Reply,Boolean,,PORT2,Port_Mode_Changed_Report_Reply,,TS_3,,,,,,,Y,483,Y1E3
Y1E4,AGVS,Port_Disabled_Report_Reply,Boolean,,PORT2,Port_Disabled_Report_Reply,,TS_3,,,,,,,Y,484,Y1E4
Y1E5,AGVS,Port_Enbled_Report_Reply,Boolean,,PORT2,Port_Enbled_Report_Reply,,TS_3,,,,,,,Y,485,Y1E5
Y1E6,AGVS,,Boolean,,PORT2,,,TS_3,,,,,,,Y,486,Y1E6
Y1E7,AGVS,Carrier_WaitIn_System_Reply,Boolean,,PORT2,Carrier_WaitIn_System_Reply,,TS_3,,,,,,,Y,487,Y1E7
Y1E8,AGVS,Carrier_WaitIn_System_Accept,Boolean,,PORT2,Carrier_WaitIn_System_Accept,,TS_3,,,,,,,Y,488,Y1E8
Y1E9,AGVS,Carrier_WaitIn_System_Refuse,Boolean,,PORT2,Carrier_WaitIn_System_Refuse,,TS_3,,,,,,,Y,489,Y1E9
Y1EA,AGVS,Carrier_WaitOut_System_Reply,Boolean,,PORT2,Carrier_WaitOut_System_Reply,,TS_3,,,,,,,Y,490,Y1EA
Y1EB,AGVS,Carrier_Removed_Completed_Report_Reply,Boolean,,PORT2,Carrier_Removed_Completed_Report_Reply,,TS_3,,,,,,,Y,491,Y1EB
Y1EC,AGVS,Carrier_Force_In_System_Reply,Boolean,,PORT2,Carrier_Force_In_System_Reply,,TS_3,,,,,,,Y,492,Y1EC
Y1ED,AGVS,To_EQ_Up,Boolean,,PORT2,To_EQ_Up,24,TS_3,,,,,,,Y,493,Y1ED
Y1EE,AGVS,To_EQ_Low,Boolean,,PORT2,To_EQ_Low,25,TS_3,,,,,,,Y,494,Y1EE
Y1EF,AGVS,CMD_reserve_Up,Boolean,,PORT2,CMD_reserve_Up,26,TS_3,,,,,,,Y,495,Y1EF
Y1F0,AGVS,CMD_reserve_Low,Boolean,,PORT2,CMD_reserve_Low,27,TS_3,,,,,,,Y,496,Y1F0
Y1F1,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,497,Y1F1
Y1F2,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,498,Y1F2
Y1F3,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,499,Y1F3
Y1F4,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,500,Y1F4
Y1F5,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,501,Y1F5
Y1F6,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,502,Y1F6
Y1F7,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,503,Y1F7
Y1F8,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,504,Y1F8
Y1F9,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,505,Y1F9
Y1FA,AGVS,,Boolean,,,,,TS_3,,,,,,,Y,506,Y1FA
