MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,MemoY Type _ 1,MemoY Address,
Y0038,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOI_2,,,,,,,Y,56,Y38
Y0039,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOI_2,,,,,,,Y,57,Y39
Y003A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOI_2,,,,,,,Y,58,Y3A
Y003B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOI_2,,,,,,,Y,59,Y3B
Y003C,AGVS,,Boolean,,,,,,,,,,,,Y,60,Y3C
Y003D,AGVS,,Boolean,,,,,,,,,,,,Y,61,Y3D
Y003E,AGVS,,Boolean,,,,,,,,,,,,Y,62,Y3E
Y003F,AGVS,,Boolean,,,,,,,,,,,,Y,63,Y3F
Y0040,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOI_3,,,,,,,Y,64,Y40
Y0041,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOI_3,,,,,,,Y,65,Y41
Y0042,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOI_3,,,,,,,Y,66,Y42
Y0043,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOI_3,,,,,,,Y,67,Y43
Y0044,AGVS,,Boolean,,,,,,,,,,,,Y,68,Y44
Y0045,AGVS,,Boolean,,,,,,,,,,,,Y,69,Y45
Y0046,AGVS,,Boolean,,,,,,,,,,,,Y,70,Y46
Y0047,AGVS,,Boolean,,,,,,,,,,,,Y,71,Y47
Y0048,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOI_3,,,,,,,Y,72,Y48
Y0049,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOI_3,,,,,,,Y,73,Y49
Y004A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOI_3,,,,,,,Y,74,Y4A
Y004B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOI_3,,,,,,,Y,75,Y4B
Y004C,AGVS,,Boolean,,,,,,,,,,,,Y,76,Y4C
Y004D,AGVS,,Boolean,,,,,,,,,,,,Y,77,Y4D
Y004E,AGVS,,Boolean,,,,,,,,,,,,Y,78,Y4E
Y004F,AGVS,,Boolean,,,,,,,,,,,,Y,79,Y4F
Y0050,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOI_4,,,,,,,Y,80,Y50
Y0051,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOI_4,,,,,,,Y,81,Y51
Y0052,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOI_4,,,,,,,Y,82,Y52
Y0053,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOI_4,,,,,,,Y,83,Y53
Y0054,AGVS,,Boolean,,,,,,,,,,,,Y,84,Y54
Y0055,AGVS,,Boolean,,,,,,,,,,,,Y,85,Y55
Y0056,AGVS,,Boolean,,,,,,,,,,,,Y,86,Y56
Y0057,AGVS,,Boolean,,,,,,,,,,,,Y,87,Y57
Y0058,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOI_4,,,,,,,Y,88,Y58
Y0059,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOI_4,,,,,,,Y,89,Y59
Y005A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOI_4,,,,,,,Y,90,Y5A
Y005B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOI_4,,,,,,,Y,91,Y5B
Y005C,AGVS,,Boolean,,,,,,,,,,,,Y,92,Y5C
Y005D,AGVS,,Boolean,,,,,,,,,,,,Y,93,Y5D
Y005E,AGVS,,Boolean,,,,,,,,,,,,Y,94,Y5E
Y005F,AGVS,,Boolean,,,,,,,,,,,,Y,95,Y5F
Y0060,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOS_1,,,,,,,Y,96,Y60
Y0061,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOS_1,,,,,,,Y,97,Y61
Y0062,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOS_1,,,,,,,Y,98,Y62
Y0063,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOS_1,,,,,,,Y,99,Y63
Y0064,AGVS,,Boolean,,,,,,,,,,,,Y,100,Y64
Y0065,AGVS,,Boolean,,,,,,,,,,,,Y,101,Y65
Y0066,AGVS,,Boolean,,,,,,,,,,,,Y,102,Y66
Y0067,AGVS,,Boolean,,,,,,,,,,,,Y,103,Y67
Y0068,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOS_1,,,,,,,Y,104,Y68
Y0069,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOS_1,,,,,,,Y,105,Y69
Y006A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOS_1,,,,,,,Y,106,Y6A
Y006B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOS_1,,,,,,,Y,107,Y6B
Y006C,AGVS,,Boolean,,,,,,,,,,,,Y,108,Y6C
Y006D,AGVS,,Boolean,,,,,,,,,,,,Y,109,Y6D
Y006E,AGVS,,Boolean,,,,,,,,,,,,Y,110,Y6E
Y006F,AGVS,,Boolean,,,,,,,,,,,,Y,111,Y6F
Y0070,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOS_2,,,,,,,Y,112,Y70
Y0071,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOS_2,,,,,,,Y,113,Y71
Y0072,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOS_2,,,,,,,Y,114,Y72
Y0073,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOS_2,,,,,,,Y,115,Y73
Y0074,AGVS,,Boolean,,,,,,,,,,,,Y,116,Y74
Y0075,AGVS,,Boolean,,,,,,,,,,,,Y,117,Y75
Y0076,AGVS,,Boolean,,,,,,,,,,,,Y,118,Y76
Y0077,AGVS,,Boolean,,,,,,,,,,,,Y,119,Y77
Y0078,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOS_2,,,,,,,Y,120,Y78
Y0079,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOS_2,,,,,,,Y,121,Y79
Y007A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOS_2,,,,,,,Y,122,Y7A
Y007B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOS_2,,,,,,,Y,123,Y7B
Y007C,AGVS,,Boolean,,,,,,,,,,,,Y,124,Y7C
